locus,gene_weight,gene_name,gene_product,cog,operon,regulator,YlxR,link
BSU_34890,0.18461974368638276,hisH,imidazole glycerol phosphate synthase%2C glutamine amidotransferase subunit,Amino acid transport and metabolism,Op2728,YlxR,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_34890
BSU_34900,0.18415083724343004,hisB,imidazoleglycerol-phosphate dehydratase [Mn(II)-dependent],Amino acid transport and metabolism,Op2729,YlxR,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_34900
BSU_34920,0.18082825951101708,hisG,ATP phosphoribosyltransferase,Amino acid transport and metabolism,Op2731,YlxR,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_34920
BSU_34860,0.17458466106484152,hisIE,bifunctional phosphoribosyl-AMP cyclohydrolase%3B phosphoribosyl-ATP pyrophosphohydrolase,Amino acid transport and metabolism,Op2725,YlxR,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_34860
BSU_34880,0.1666849504645816,hisA,phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase,Amino acid transport and metabolism,Op2727,YlxR,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_34880
BSU_34870,0.16474214040661578,hisF,imidazole glycerol phosphate synthase subunit,Amino acid transport and metabolism,Op2726,YlxR,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_34870
BSU_34910,0.16421231303432599,hisD,histidinol dehydrogenase,Amino acid transport and metabolism,Op2730,YlxR,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_34910
BSU_34930,0.16156764963409234,hisZ,histidyl-tRNA synthetase-like subunit of ATP phophoribosyltransferase,Amino acid transport and metabolism,Op2732,YlxR,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_34930
BSU_33120,0.12721504479594453,liaH,modulator of liaIHGFSR (yvqIHGFEC) operon expression,Transcription,Op2600,"SigA,LiaR",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_33120
BSU_33130,0.12184200452991074,liaI,membrane anchor for the phage-shock protein A homolog LiaH,Function unknown,Op2600,"SigA,LiaR",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_33130
