locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
ABUW_4055,0.1700909685,strB,Streptomycin resistance protein B,Defense mechanisms,,,
ABUW_4056,0.16719133090000002,strA,Aminoglycoside phosphotransferase,Nucleotide transport and metabolism,,AbaM,
ABUW_4057,0.1552035136,aadA1,aminoglycoside 3''-adenylyltransferase aadA1,Function unknown,,"AbaM,ABUW_1645",
ABUW_4048,0.1479862949,sul1,dihydropteroate synthase,Coenzyme transport and metabolism,,,
ABUW_4047,0.1455454485,ABUW_4047,hypothetical protein,Transcription,,,
ABUW_4059,0.1343845172,cmlA,Chloramphenicol resistance protein,Amino acid transport and metabolism,,,
ABUW_4046,0.12191533060000001,ABUW_4046,hypothetical protein,Function unknown,,AbaM,
ABUW_4052,0.1165097949,ABUW_4052,bla(GES-14),Defense mechanisms,,,
ABUW_4049,0.1073066602,qacEdelta1,cation/cationic drug membrane transport protein,Inorganic ion transport and metabolism,,,
ABUW_4060,0.10724625580000001,aadB,2'-aminoglycoside nucleotidyltransferase AadB,Function unknown,,,
ABUW_4061,0.0885724219,intI,IntI1 integrase,"Replication, recombination and repair",,,
ABUW_4050,0.0833243473,ABUW_4050,dihydrofolate reductase,Coenzyme transport and metabolism,,,
ABUW_1586,-0.0809806471,ABUW_1586,glutamine synthetase,Amino acid transport and metabolism,,,
ABUW_0544,-0.082452829,ABUW_0544,hypothetical protein,No COG annotation,Op286,Phage region 1,
ABUW_3684,-0.09839628360000001,ABUW_3684,hypothetical protein,No COG annotation,,,
