locus,gene_weight,gene_name,gene_product,COG,operon,regulator,argR,link
b4254,0.31862474335900004,argI,ornithine carbamoyltransferase chain I,Amino acid transport and metabolism,argI,"argR,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10069
b0273,0.27884558376400004,argF,ornithine carbamoyltransferase chain F,Amino acid transport and metabolism,argF,"argR,fur,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10067
b3958,0.258739996912,argC,N-acetylglutamylphosphate reductase,Amino acid transport and metabolism,argCBH,"argR,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10065
b2818,0.23315306729899998,argA,N-acetylglutamate synthase,Amino acid transport and metabolism,argA,"argR,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10063
b0860,0.227674948757,artJ,L-arginine ABC transporter - periplasmic binding protein,Amino acid transport and metabolism,artJ,"argR,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11628
b3959,0.21070569334800002,argB,acetylglutamate kinase,Amino acid transport and metabolism,argCBH,"argR,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10064
b3359,0.178401881019,argD,<i>N</i>-acetylornithine aminotransferase / <i>N</i>-succinyldiaminopimelate aminotransferase,Amino acid transport and metabolism,argD,"argR,phoP,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10066
b3172,0.177438886641,argG,argininosuccinate synthase,Amino acid transport and metabolism,argG,"arcA,argR,crp,fnr,nac,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10068
b3960,0.177192128963,argH,argininosuccinate lyase,Amino acid transport and metabolism,argCBH,"argR,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11223
b3957,0.0978482787867,argE,acetylornithine deacetylase,Amino acid transport and metabolism,argE,"argR,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11286
b0709,0.09775440377530001,dtpD,dipeptide:H<sup>+</sup> symporter DtpD,Amino acid transport and metabolism,dtpD,argR,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6378
b0272,0.0913866373941,yagI,CP4-6 prophage,Transcription,xynR,fur,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6144
b0032,0.08997960275360001,carA,"carbamoyl phosphate synthetase, &alpha; chain",Nucleotide transport and metabolism,carAB,"arcA,argR,fis,ihf,pepA,purR,rpoD,rutR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10134
