locus,gene_weight,gene_name,gene_product,cog,regulator,Crp,link
b4357,0.1708470476349093,lgoR,putative DNA-binding transcriptional regulator LgoR,Transcription,"RpoE,Crp,UxuR,ExuR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7944
b4118,0.1633842902531859,melR,DNA-binding transcriptional dual regulator MelR,Transcription,"RpoD,Crp,MelR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11230
b3118,0.1555742505984903,tdcA,DNA-binding transcriptional activator TdcA,Transcription,"Fnr,Crp,ppGpp,IHF,TdcA,TdcR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10989
b2876,0.1433149720504044,yqeC,uncharacterized protein YqeC,Cell wall/membrane/envelope biogenesis,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7495
b1205,0.1356882028896437,ychH,stress-induced protein,Function unknown,"RpoD,Crp,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11533
b2151,0.1328945154329854,galS,DNA-binding transcriptional dual regulator GalS,Transcription,"RpoD,GalR,GalS,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10365
b0328,0.1311910871299074,yahN,putative amino acid exporter,Amino acid transport and metabolism,Crp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6193
b1689,0.1245710648899669,ydiL,DUF1870 domain-containing protein YdiL,Function unknown,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6915
b1426,0.1201183189411708,ydcH,protein YdcH,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12865
b4189,0.1100816921694467,bsmA,DUF1471 domain-containing putative lipoprotein BsmA,Function unknown,"YciT,RpoS",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7852
b4188,0.1030386122830662,yjfN,protease activator,Function unknown,CpxR,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7851
b2877,0.101944586648105,mocA,molybdenum cofactor cytidylyltransferase,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7496
b2869,0.1012996016418501,ygeV,putative sigma(54)-dependent transcriptional regulator YgeV,Transcription,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7488
b0445,0.0995162996247216,ybaE,putative protein YbaE,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG13217
b2801,0.0992063002718381,fucP,L-fucose:H(+) symporter,Inorganic ion transport and metabolism,"RpoD,FucR,Crp,spf",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10352
b2219,0.0968916773582691,atoS,sensory histidine kinase AtoS,Signal transduction mechanisms,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11667
b0681,0.0960500715450426,chiP,chitobiose outer membrane channel,Cell wall/membrane/envelope biogenesis,"Crp,NagC,ChiX",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6370
b0129,0.0940696249351128,yadI,putative PTS enzyme IIA component YadI,Carbohydrate transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12322
b4089,0.0894962063157969,alsR,DNA-binding transcriptional repressor AlsR,Transcription,"RpoD,AlsR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7821
