locus,gene_weight,gene_name,gene_product,cog,operon,regulator,FleQ,link
PP_4370,0.1712804887511222,fliE,Flagellar hook-basal body complex protein FliE,Cell motility,Op2817,"FleR,FleQ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4370&e1=1&assembly=complete
PP_4394,0.1551825447089975,flgA,flagella basal body P-ring formation protein,Cell motility,Op2828,FleQ,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4394&e1=1&assembly=complete
PP_4359,0.1470901904386581,fliL,Flagellar protein FliL,Cell motility,Op2813,"AlgR,FleQ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4359&e1=1&assembly=complete
PP_4386,0.1410752762544239,flgF,flagellar basal-body rod protein FlgF,Cell motility,Op2823,"FleR,FleQ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4386&e1=1&assembly=complete
PP_4358,0.1400435730052773,fliM,flagellar synthesis%2C switching and energizing component,Cell motility,Op2813,FleQ,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4358&e1=1&assembly=complete
PP_4385,0.13749537229401,flgG,flagellar basal-body rod protein FlgG,Cell motility,Op2823,"FleQ,AmrZ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4385&e1=1&assembly=complete
PP_4391,0.1338820043846711,flgB,flagellar basal-body rod protein FlgB,Cell motility,Op2825,"FleQ,CbrB",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4391&e1=1&assembly=complete
PP_4357,0.1248474865049859,fliN,C-ring protein of the flagellar basal body,Cell motility,Op2813,FleQ,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4357&e1=1&assembly=complete
PP_4368,0.1225493715298799,fliG,flagellar motor switch protein,Cell motility,Op2817,"AlgR,FleQ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4368&e1=1&assembly=complete
PP_1970,0.1223944177910424,PP_1970,putative Lipoprotein,Cell wall/membrane/envelope biogenesis,Op1256,FleQ,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1970&e1=1&assembly=complete
