locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,LaoR,AtuR,link
PA2886,0.192666721,atuA,,hypothetical protein,Amino acid transport and metabolism,AtuR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2886&e1=1&assembly=complete
PA2887,0.18069320400000002,atuB,,citronellol catabolism dehydrogenase,Lipid transport and metabolism,AtuR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2887&e1=1&assembly=complete
PA2891,0.17928249000000002,atuF,,geranyl-CoA carboxylase subunit alpha,Lipid transport and metabolism,AtuR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2891&e1=1&assembly=complete
PA2888,0.17570091100000002,atuC,,geranyl-CoA carboxylase subunit beta,Lipid transport and metabolism,AtuR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2888&e1=1&assembly=complete
PA2889,0.17457598400000002,atuD,,citronellyl-CoA dehydrogenase,Lipid transport and metabolism,AtuR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2889&e1=1&assembly=complete
PA2890,0.17190687000000002,atuE,,isohexenylglutaconyl-CoA hydratase,Lipid transport and metabolism,AtuR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2890&e1=1&assembly=complete
PA2892,0.16667177300000002,atuG,,short-chain dehydrogenase,Lipid transport and metabolism,AtuR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2892&e1=1&assembly=complete
PA0364,0.130571865,PA0364,,oxidoreductase,Amino acid transport and metabolism,LaoR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0364&e1=1&assembly=complete
PA1535,0.126914046,PA1535,,acyl-CoA dehydrogenase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1535&e1=1&assembly=complete
PA0365,0.122474784,PA0365,,hypothetical protein,Function unknown,LaoR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0365&e1=1&assembly=complete
PA0366,0.11933334500000001,PA0366,,coniferyl aldehyde dehydrogenase,Energy production and conversion,LaoR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0366&e1=1&assembly=complete
PA0534,0.08836031700000001,PA0534,,hypothetical protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0534&e1=1&assembly=complete
PA0367,0.078788983,laoR,,transcriptional regulator,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0367&e1=1&assembly=complete
PA4435,0.078721529,PA4435,,acyl-CoA dehydrogenase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4435&e1=1&assembly=complete
PA4596,0.068751004,esrC,,transcriptional regulator,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4596&e1=1&assembly=complete
PA4889,-0.069622759,PA4889,,oxidoreductase,Energy production and conversion,DesT,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4889&e1=1&assembly=complete
PA4888,-0.07432823300000001,desB,,acyl-CoA desaturase,Lipid transport and metabolism,DesT,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4888&e1=1&assembly=complete
PA4364,-0.078792768,PA4364,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4364&e1=1&assembly=complete
PA4365,-0.083359977,PA4365,,transporter,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4365&e1=1&assembly=complete
PA4772,-0.09946268800000001,PA4772,,ferredoxin,Energy production and conversion,LldR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4772&e1=1&assembly=complete
PA4771,-0.12231888800000001,lldD,,L-lactate dehydrogenase,Energy production and conversion,LldR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4771&e1=1&assembly=complete
