locus,gene_weight,gene_name,gene_product,COG,operon,regulator,CymR,link
BSU_39500,0.20203620300000003,yxeM,putative S-(2-succino)cysteine [SW|ABC transporter] (binding protein),Cell wall/membrane/envelope biogenesis,yxeK->yxeQ,"SigA,CymR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU39500
BSU_39510,0.20130196,snaB,S-(2-succino)cysteine N-acetyltransferase,Transcription,yxeK->yxeQ,"SigA,CymR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU39510
BSU_39490,0.19673314800000002,yxeN,putative S-(2-succino)cysteine [SW|ABC transporter] (permease),Inorganic ion transport and metabolism,yxeK->yxeQ,"SigA,CymR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU39490
BSU_07190,0.195753693,yezD,unknown,No COG category,"yezD->yetK, yezD->yetJ",CymR,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU07190
BSU_39480,0.19521178,yxeO,putative S-(2-succino)cysteine [SW|ABC transporter] (ATP-binding protein),Inorganic ion transport and metabolism,yxeK->yxeQ,"SigA,CymR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU39480
new_3008846_3008937,0.19463523300000002,S1115,5'UTR of ytlI,No COG category,,"SigA,CymR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3008846_3008937
BSU_27280,0.19328282600000002,yrrT,putative AdoMet-dependent methyltransferase,"Secondary metabolite biosynthesis, transport, and catabolism",yrrT->yrhC,"Spx,SigA,CymR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU27280
BSU_39520,0.19187076900000002,yxeK,N-acetyl S-(2-succino)cysteine oxygenase,No COG category,yxeK->yxeQ,"SigA,CymR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU39520
BSU_39470,0.182210838,sndB,N-acetylcysteine deacetylase,No COG category,yxeK->yxeQ,"SigA,CymR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU39470
BSU_09130,0.16980418800000002,tcyP,cystine and diaminopimelate transporter,Intracellular trafficking and secretion,tcyP,CymR,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU09130
BSU_29400,0.168069026,ascR,"alkyl-sulphur catabolism regulator, transcriptional activator ([SW|LysR family])",Transcription,ascR,"SigA,CymR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU29400
