locus,gene_weight,gene_name,gene_product,cog,operon,regulator,FnrA,link
PP_4253,0.1767648282278565,ccoP-I,cytochrome c oxidase subunit%2C cbb3-type,Energy production and conversion,Op2755,"RoxR,FnrA",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4253&e1=1&assembly=complete
PP_4252,0.1709872858136029,ccoQ-I,cytochrome c oxidase subunit%2C cbb3-type,"Post-translational modification, protein turnover, and chaperones",Op2755,FnrA,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4252&e1=1&assembly=complete
PP_4251,0.1641504867595488,ccoO-I,cytochrome c oxidase subunit%2C cbb3-type,Energy production and conversion,Op2755,"RoxR,FnrA",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4251&e1=1&assembly=complete
PP_1000,0.1547500712044863,arcB,ornithine carbamoyltransferase%2C catabolic,Amino acid transport and metabolism,Op630,FleQ,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1000&e1=1&assembly=complete
PP_5734,0.1361011135386355,PP_5734,conserved hypothetical protein,No COG annotation,Op3530,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5734&e1=1&assembly=complete
PP_5389,0.1281267532279079,PP_5389,conserved hypothetical protein,"Post-translational modification, protein turnover, and chaperones",Op3532,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5389&e1=1&assembly=complete
PP_1001,0.1276057565878137,arcA,arginine deiminase,Amino acid transport and metabolism,Op630,FleQ,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1001&e1=1&assembly=complete
PP_0999,0.1167862999268243,arcC,carbamate kinase,Amino acid transport and metabolism,Op630,"TurA,FleQ",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0999&e1=1&assembly=complete
PP_5735,0.108783886876687,PP_5735,conserved hypothetical protein,Inorganic ion transport and metabolism,Op3531,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5735&e1=1&assembly=complete
PP_5208,0.1078541813599721,yhhJ,putative translation related protein,Defense mechanisms,Op3393,FleQ,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5208&e1=1&assembly=complete
PP_1319,0.1058717548229429,petC,Ubiquinol--cytochrome c reductase%2C cytochrome c1,Inorganic ion transport and metabolism,Op828,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1319&e1=1&assembly=complete
PP_5390,0.1014021505035515,PP_5390,conserved hypothetical protein,Function unknown,Op3532,TurB,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5390&e1=1&assembly=complete
PP_5748,0.0934709649059617,ccmH,cytochrome c heme lyase subunit,Inorganic ion transport and metabolism,Op2800,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5748&e1=1&assembly=complete
PP_0490,0.0921243565472117,fdoH,formate dehydrogenase-O%2C beta subunit,Energy production and conversion,Op317,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0490&e1=1&assembly=complete
PP_4321,0.0881393494091847,ccmG,holocytochrome c synthetase subunit,Energy production and conversion,Op2800,"AlgR,GacA",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4321&e1=1&assembly=complete
PP_3235,0.0852863641026731,PP_3235,conserved protein of unknown function,Function unknown,Op2101,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3235&e1=1&assembly=complete
