locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,PhhR,HmgR,link
PA2007,0.300315163,maiA,,maleylacetoacetate isomerase,"Post-translational modification, protein turnover,and chaperones",HmgR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2007&e1=1&assembly=complete
PA2009,0.285636096,hmgA,,homogentisate 1%2C2-dioxygenase,"Secondary metabolites biosynthesis, transport, and catabolism",HmgR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2009&e1=1&assembly=complete
PA2008,0.283691281,fahA,,fumarylacetoacetase,"Secondary metabolites biosynthesis, transport, and catabolism",HmgR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2008&e1=1&assembly=complete
PA0865,0.23529233700000002,hpd,,4-hydroxyphenylpyruvate dioxygenase,Amino acid transport and metabolism,PhhR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0865&e1=1&assembly=complete
PA2006,0.21076386800000002,PA2006,,major facilitator superfamily transporter,Carbohydrate transport and metabolism,HmgR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2006&e1=1&assembly=complete
PA0866,0.174562606,aroP2,,aromatic amino acid transporter AroP,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0866&e1=1&assembly=complete
PA2010,0.150907899,hmgR,,transcriptional regulator,Transcription,HmgR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2010&e1=1&assembly=complete
PA0872,0.143570466,phhA,,phenylalanine 4-monooxygenase,Amino acid transport and metabolism,"PhhR,PhhR",True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0872&e1=1&assembly=complete
PA0871,0.134059711,phhB,,pterin-4-alpha-carbinolamine dehydratase,Coenzyme transport and metabolism,"PhhR,PhhR",True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0871&e1=1&assembly=complete
PA0870,0.128636062,phhC,,aromatic amino acid aminotransferase,Amino acid transport and metabolism,"PhhR,PhhR",True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0870&e1=1&assembly=complete
PA2000,0.085671595,dhcB,,dehydrocarnitine CoA transferase subunit B,Lipid transport and metabolism,"DhcR,PhhR",True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2000&e1=1&assembly=complete
