locus,comp,gene_name,product,operon,TF,link
b1147,0.18584116347500002,ymfL,e14 prophage; predicted DNA-binding transcriptional regulator,ymfTLMNR-beeE-jayE-ymfQ-ycfK-tfaP,,https://ecocyc.org/gene?orgid=ECOLI&id=G6591
b1144,0.163030794994,ymfJ,e14 prophage; predicted protein,ymfJ,,https://ecocyc.org/gene?orgid=ECOLI&id=G6588
b4519,0.13892971447799998,icdC,conserved protein,icdC,,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10556
b2616,0.138476357869,recN,protein used in recombination and DNA repair,recN,"fur, lexA, rpoD",https://ecocyc.org/gene?orgid=ECOLI&id=EG10831
b0958,0.129664359946,sulA,SOS cell division inhibitor,sulA,"lexA, rcdA, rpoD",https://ecocyc.org/gene?orgid=ECOLI&id=EG10984
b4693,0.120074161838,aaaE,e14 prophage; predicted DNA-binding transcriptional regulator,ymfTLMNR-beeE-jayE-ymfQ-ycfK-tfaP,,https://ecocyc.org/gene?orgid=ECOLI&id=G0-16720
b4567,0.0986947467099,yjjZ,putative protein,yjjZ,"fnr, fur, nac, oxyR, rpoD",https://ecocyc.org/gene?orgid=ECOLI&id=G0-10474
b1141,0.09180748864739999,xisE,e14 prophage; predicted excisionase,ymfH-xisE-intE,,https://ecocyc.org/gene?orgid=ECOLI&id=G6585
b1848,0.08997453990460001,yebG,conserved protein regulated by LexA,yebG,"lexA, rpoD",https://ecocyc.org/gene?orgid=ECOLI&id=EG11808
b2681_1,0.0848749208121,ygaY_1,,ygaY_1Y_2,,
b1596,0.0792985985363,ynfM,"putative transport protein, major facilitator superfamily",ynfM,,https://ecocyc.org/gene?orgid=ECOLI&id=G6854
b3161,-0.08356470214039999,mtr,tryptohan / indole:H+ symporter Mtr,mtr,"hU, ihf, lrp, rpoD, trpR, tyrR",https://ecocyc.org/gene?orgid=ECOLI&id=EG10617
b0683,-0.4590049601340001,fur,Fur transcriptional dual regulator,fldA-uof-fur,"crp, fur, oxyR, rpoD, soxS",https://ecocyc.org/gene?orgid=ECOLI&id=EG10359
