locus,gene_weight,gene_name,gene_product,COG,operon,regulator,ArgP,BasR,SlyA,link
b4024,0.3749211655,lysC,aspartate kinase III,Amino acid transport and metabolism,lysC,"RpoD,YneJ,ArgP",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10550
b0031,0.28872421730000003,dapB,4-hydroxy-tetrahydrodipicolinate reductase,Amino acid transport and metabolism,dapB,"RpoD,ArgP,Nac",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10206
b3324,0.2356337996,gspC,Type II secretion system protein GspC,"Intracellular trafficking, secretion, and vesicular transport",gspCDEFGHIJKLMO,"RpoD,ppGpp,SlyA,H-NS,Fur",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7702
b1761,0.2176562814,gdhA,glutamate dehydrogenase,Amino acid transport and metabolism,gdhA,"RpoD,YeiE,gcvB,Crp,Nac,Fur,Fnr,ArgP,ppGpp,Lrp,GlaR,spf",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10372
b4023,0.1958311489,yjbD,conserved protein YjbD,Function unknown,yjbD,ppGpp,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11922
b3325,0.1825522852,gspD,Type II secretion system protein GspD,Cell motility,gspCDEFGHIJKLMO,"RpoD,SlyA,H-NS,Fur",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7703
b3326,0.17301782940000002,gspE,Type II secretion system protein GspE,Cell motility,gspCDEFGHIJKLMO,"RpoD,SlyA,H-NS,Fur",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7704
b3433,0.1725421073,asd,aspartate-semialdehyde dehydrogenase,Amino acid transport and metabolism,asd,"ppGpp,ArgP,sgrS",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10088
b2156,0.1453365046,lysP,lysine:H(+) symporter,Amino acid transport and metabolism,lysP,"RpoD,ppGpp,ArgP,Lrp,Nac",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11337
b3328,0.1432724131,gspG,Type II secretion system protein GspG,"Intracellular trafficking, secretion, and vesicular transport",gspCDEFGHIJKLMO,"RpoD,SlyA,H-NS,Fur,Nac",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7706
b3327,0.1415544944,gspF,Type II secretion system protein GspF,"Intracellular trafficking, secretion, and vesicular transport",gspCDEFGHIJKLMO,"RpoD,SlyA,H-NS,Fur",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7705
b3432,0.1364016867,glgB,1%2C4-alpha-glucan branching enzyme,Carbohydrate transport and metabolism,glgBXCAP,"PhoP,RpoD,YfeD,ppGpp",False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10378
b2838,0.1228441931,lysA,diaminopimelate decarboxylase,Amino acid transport and metabolism,lysA,"RpoD,LysR,ArgP,Nac",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10549
b3431,0.11398139680000001,glgX,limit dextrin alpha-1%2C6-glucohydrolase,Carbohydrate transport and metabolism,glgBXCAP,"PhoP,RpoD,ppGpp",False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10381
b3430,0.11206376030000001,glgC,glucose-1-phosphate adenylyltransferase,Nucleotide transport and metabolism,glgBXCAP,"PhoP,RpoD,RpoS,Crp,ppGpp,CsrA,Lrp",False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10379
b3429,0.0983259228,glgA,glycogen synthase,Nucleotide transport and metabolism,glgBXCAP,"PhoP,RpoD,RpoS,Crp,CsrA,ppGpp",False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10377
b0166,0.0958570827,dapD,tetrahydrodipicolinate succinylase,Amino acid transport and metabolism,map-glnD-dapD,"RpoD,ArgP,MarA,Rob,SoxS",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10207
b0530,0.09403745100000001,sfmA,putative fimbrial protein SfmA,Cell motility,,,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6290
b3329,0.09389297960000001,gspH,Type II secretion system protein GspH,"Intracellular trafficking, secretion, and vesicular transport",,"RpoD,SlyA,H-NS,Fur,Nac",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7707
b3428,0.08837054030000001,glgP,glycogen phosphorylase,Carbohydrate transport and metabolism,glgBXCAP,"PhoP,RpoD,RpoS,Crp,CsrA,ppGpp",False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10380
b4756,0.07317607670000001,yqiD,protein YqiD,Function unknown,,,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-16750
b0460,0.0707442796,hha,hemolysin expression modulating protein,Transcription,tomB-hha,"PdhR,RpoD,CpxR,BasR",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10439
b0459,0.068313992,maa,maltose O-acetyltransferase,Function unknown,maa,YcjW,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G58
b0461,0.0678928486,tomB,protein that modulates Hha toxicity,"Replication, recombination and repair",tomB-hha,"RpoD,PdhR,YdcI,CpxR,BasR,Nac",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12429
