locus,gene_weight,gene_name,gene_product,cog,regulator,marR,link
STM3361,0.291049728,yhcN,putative outer membrane protein,Function unknown,lrp,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3361
STM3362,0.21619816020000002,STM3362,putative periplasmic protein,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3362
STM1520,0.16993264160000002,marR,transcriptional repressor of marRAB operon,Transcription,"acrR,cpxR,cra,crp,fis,marA,marR,nac,rob,rpoD,soxS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1520
STM1519,0.1624794044,marA,AraC/XylS family transcriptional activator of defense systems,Transcription,"acrR,cpxR,cra,crp,fis,marA,marR,nac,rob,rpoD,soxS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1519
STM1518,0.16019306860000002,marB,multiple antibiotic resistance protein,Function unknown,"acrR,cpxR,cra,crp,fis,marA,marR,nac,rob,rpoD,soxS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1518
STM1443,0.1138088163,ydhI,putative inner membrane protein,Function unknown,"fnr,rpoE",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1443
STM1442,0.10832100900000001,ydhJ,putative multidrug resistance efflux pump,Defense mechanisms,"fnr,rpoE",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1442
STM1601,-0.1097846588,ugtL,putative membrane protein,No COG annotation,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1601
STM1444,-0.1120805007,slyA,MarR family transcriptional regulator for hemolysin,Transcription,fnr,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1444
STM1572,-0.144623937,nmpC,new outer membrane protein,Cell wall/membrane/envelope biogenesis,crp,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1572
STM1246,-0.1612686311,pagC,reduced macrophage survival protein,Cell wall/membrane/envelope biogenesis,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1246
