locus,gene_weight,gene_name,gene_product,cog,operon,regulator,YgbI,link
b2736,0.3607629228,ygbJ,putative L-threonate dehydrogenase,Lipid transport and metabolism,ygbJK,YgbI,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7417
b2738,0.3472186208,ygbL,putative 3-oxo-tetronate 4-phosphate decarboxylase YgbL,Carbohydrate transport and metabolism,ygbLM,YgbI,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7419
b2737,0.3311942061,ygbK,putative 3-oxo-tetronate kinase YgbK,Function unknown,ygbJK,"FlhDC,FliA,YgbI",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7418
b2739,0.3044253328,ygbM,putative 2-oxo-tetronate isomerase YgbM,Carbohydrate transport and metabolism,ygbLM,YgbI,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7420
b2740,0.218705636,ygbN,putative transporter YgbN,Amino acid transport and metabolism,ygbN,YgbI,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7421
b1800,0.192004421,dmlA,D-malate/3-isopropylmalate dehydrogenase (decarboxylating),Energy production and conversion,dmlA,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6986
b2735,0.0882597252,ygbI,putative DeoR-type DNA-binding transcriptional regulator YgbI,Transcription,ygbI,YgbI,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7416
b0509,0.0777219019,glxR,tartronate semialdehyde reductase 2,Lipid transport and metabolism,gcl-hyi-glxR-ybbW-allB-ybbY-glxK,"RpoD,AllR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6278
b0061,-0.0723432021,araD,L-ribulose-5-phosphate 4-epimerase AraD,Carbohydrate transport and metabolism,araBAD,"RpoD,Crp,AraC",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10055
b0063,-0.0749198476,araB,ribulokinase,Nucleotide transport and metabolism,araBAD,"RpoD,Crp,AraC",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10053
b2843,-0.0835414843,kduI,5-dehydro-4-deoxy-D-glucuronate isomerase,Carbohydrate transport and metabolism,kduI,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7463
