locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,Sfa3,RpoS,link
PA1041,0.12389222100000001,PA1041,,hypothetical protein,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1041&e1=1&assembly=complete
PA1176,0.112987715,napF,,ferredoxin protein NapF,Energy production and conversion,RpoS,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1176&e1=1&assembly=complete
PA3416,0.111680469,PA3416,,pyruvate dehydrogenase E1 component subunit beta,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3416&e1=1&assembly=complete
PA1177,0.10656090700000001,napE,,nitrate reductase protein NapE,Energy production and conversion,RpoS,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1177&e1=1&assembly=complete
PA0179,0.101041899,PA0179,,two-component response regulator,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0179&e1=1&assembly=complete
PA0177,0.09984469300000001,PA0177,,purine-binding chemotaxis protein,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0177&e1=1&assembly=complete
PA3451,0.099587569,PA3451,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3451&e1=1&assembly=complete
PA3418,0.098088408,ldh,,leucine dehydrogenase,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3418&e1=1&assembly=complete
PA2937,0.097718127,PA2937,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2937&e1=1&assembly=complete
PA3417,0.097030985,PA3417,,pyruvate dehydrogenase E1 component subunit alpha,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3417&e1=1&assembly=complete
PA4306,0.094381349,flp,,type IVb pilin Flp,"Intracellular trafficking, secretion, and vesicular transport",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4306&e1=1&assembly=complete
PA0178,0.093356373,PA0178,,two-component sensor,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0178&e1=1&assembly=complete
PA0459,0.09148903500000001,PA0459,,chaperone protein ClpB,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0459&e1=1&assembly=complete
PA1174,0.090214396,napA,,nitrate reductase catalytic subunit,Energy production and conversion,RpoS,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1174&e1=1&assembly=complete
