locus,gene_weight,gene_name,gene_product,cog,regulator,MalR2,link
SP5448_04305,0.3077821317,malA,maltodextrose utilization protein malA,Function unknown,"CcpA,MalR2,CovR,Mga,Rgg,Nra_transition_M49",True,
SP5448_04300,0.3030870761,malD,sugar ABC transporter permease,Inorganic ion transport and metabolism,"CcpA,MalR2,CovR,Mga",True,
SP5448_04295,0.2968784376,malC,sugar ABC transporter permease,Inorganic ion transport and metabolism,"CcpA,MalR2,CovR,Mga,Rgg",True,
SP5448_04290,0.2906598084,amyA,alpha-amylase,Carbohydrate transport and metabolism,"CcpA,MalR2,CovR,TrxR_M1,Mga,Rgg",True,
SP5448_04275,0.2755979695,mdxE,sugar ABC transporter substrate-binding protein,Carbohydrate transport and metabolism,"CcpA,MalR2,CovR,Mga",True,
SP5448_04285,0.2705465683,amyB,alpha-amylase,Carbohydrate transport and metabolism,"CcpA,MalR2,CovR,TrxR_M1,Mga",True,
SP5448_00885,0.1831669893,SP5448_00885,hypothetical protein,Function unknown,"CovR,Rgg,CovR,CovR,CovR",False,
SP5448_00875,0.1368056571,SP5448_00875,NAD glycohydrolase inhibitor,Function unknown,"Mga,CovR,CovR,CovR",False,
SP5448_00870,0.1322156704,SP5448_00870,N-acetylglucosamine-1-phosphate uridyltransferase,Function unknown,"CovR,Mga,Rgg,Rgg,CodY_M49,CovR,CovR,CovR,Nra_exponetional_M49,Nra_transition_M49,Irr_LE_M6",False,
SP5448_00900,0.131242944,SP5448_00900,hypothetical protein,Function unknown,,False,
SP5448_00880,0.1235534858,slo,alveolysin,Cell wall/membrane/envelope biogenesis,"CovR,TrxR_M1,Mga,Rgg,Rgg,CodY_M49,CovR,CovR,CovR,CovR,Nra_exponetional_M49,Nra_stationary_M49",False,
SP5448_06975,0.1157402032,pacL,ATPase,Inorganic ion transport and metabolism,"yybP-ykoY,Irr_LE_M6",False,
SP5448_03960,-0.11566393280000001,SP5448_03960,transposase,"Replication, recombination and repair",,False,
