locus,gene_weight,gene_name,gene_product,COG,operon,regulator,EvgA,link
b2375,0.3629892246,yfdX,protein YfdX,Function unknown,yfdX-frc-oxc-yfdVE,"RpoD,ppGpp,EvgA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7238
b2374,0.3419731344,frc,formyl-CoA transferase,Energy production and conversion,yfdX-frc-oxc-yfdVE,"RpoD,EvgA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7237
b2372,0.2925645479,yfdV,putative transport protein YfdV,"Intracellular trafficking, secretion, and vesicular transport",yfdX-frc-oxc-yfdVE,"RpoD,YeiE,EvgA,Nac,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7235
b2373,0.2881691329,oxc,oxalyl-CoA decarboxylase,Amino acid transport and metabolism,yfdX-frc-oxc-yfdVE,"RpoD,YdcR,EvgA,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7236
b1499,0.2659516005,ydeO,DNA-binding transcriptional dual regulator YdeO,Transcription,safA-ydeO,"RpoD,RcsB,YdhB,RpoH,YdeO,PhoP,EvgA,H-NS,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6789
b2085,0.2647384711,yegR,uncharacterized protein YegR,No COG annotation,yegRZ,"RpoD,ppGpp,EvgA,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7122
b1500,0.192348075,safA,two-component system connector SafA,No COG annotation,,"RpoD,RcsB,YdeO,PhoP,EvgA,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6790
b1501,0.1864260157,ydeP,putative oxidoreductase YdeP,Energy production and conversion,ydeP,"RpoD,PhoP,NagC,UvrY,NarL,NarP,RcsB,EvgA,H-NS,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6791
b2371,0.1851683392,yfdE,acetyl-CoA:oxalate CoA-transferase,Energy production and conversion,yfdX-frc-oxc-yfdVE,"RpoD,EvgA,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7234
b2376,0.18362358880000001,ypdI,colanic acid synthesis putative lipoprotein YpdI,No COG annotation,ypdI,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7239
b2368,0.1671311843,emrK,tripartite efflux pump membrane fusion protein EmrK,Defense mechanisms,emrKY,"YciT,Fnr,EvgA,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7233
b2083,0.1648586564,yegZ,phage protein D,Function unknown,,"RpoD,EvgA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7120
b2082,0.1219189818,ogrK,prophage P2 late control protein OgrK,Transcription,ogrK,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7119
b2367,0.1196601374,emrY,tripartite efflux pump membrane subunit EmrY,Amino acid transport and metabolism,emrKY,"gcvB,Fnr,EvgA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG13283
b1597,0.0908043677,asr,acid shock protein,No COG annotation,asr,"RpoD,PhoB,RpoS,H-NS,RcdA,RstA",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6855
