locus,gene_weight,gene_name,gene_product,COG,operon,regulator,RpoS,GadX,FliZ,GadE,ppGpp,GadW,link
b3491,0.2889114807,yhiM,inner membrane protein with a role in acid resistance,Function unknown,yhiM,"oxyS,RpoS,GadE,H-NS,GadE-RcsB,Lrp",True,False,False,True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12228
b1492,0.20477593300000002,gadC,L-glutamate:4-aminobutyrate antiporter,Amino acid transport and metabolism,gadBC,"RcsB,RpoD,RpoS,Fis,Crp,AdiY,GadX,GadW,FliZ,GadE,ppGpp",True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6786
b3517,0.1950453825,gadA,glutamate decarboxylase A,Amino acid transport and metabolism,gadAXW,"RpoD,TorR,RpoS,Fis,Crp,ArcA,Fnr,AdiY,RcsB,H-NS,GadW,GadX,GadE-RcsB,ppGpp",True,True,False,False,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG50009
b1493,0.185757996,gadB,glutamate decarboxylase B,Amino acid transport and metabolism,gadBC,"RcsB,RpoD,oxyS,RpoS,Fis,Crp,AdiY,GadX,GadW,FliZ,GadE,Lrp,ppGpp",True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11490
b1625,0.1630754549,cnu,H-NS- and StpA-binding protein,Transcription,cnu,,False,False,False,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6869
b3514,0.11713870550000001,mdtF,multidrug efflux pump RND permease MdtF,Defense mechanisms,gadEF-mdtEF,"RpoD,YidZ,YeiE,RpoS,GadW,GadX,Crp,YdeO,EvgA,H-NS,FliZ,GadE,ppGpp",True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12241
b3513,0.1073634445,mdtE,multidrug efflux pump membrane fusion protein MdtE,Cell wall/membrane/envelope biogenesis,gadEF-mdtEF,"RpoD,RpoS,GadW,GadX,Crp,YdeO,EvgA,H-NS,FliZ,GadE,Nac,ppGpp",True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12240
b4187,0.1050474046,aidB,putative acyl-CoA dehydrogenase AidB,Lipid transport and metabolism,aidB,"RpoD,YidZ,RpoS,Ada,AidB,ppGpp,Lrp",True,False,False,False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11811
b0486,0.1013553282,ybaT,putative transporter YbaT,Amino acid transport and metabolism,glsA-ybaT,"RpoS,GadX,ppGpp",True,True,False,False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6262
b3506,-0.0910660971,slp,starvation lipoprotein,Cell wall/membrane/envelope biogenesis,slp-dctR,"RpoD,gcvB,MarA,GadW,YdeO,ppGpp,GadX,H-NS,GadE-RcsB",False,True,False,False,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11890
b3510,-0.17460655590000002,hdeA,HdeA monomer%2C chaperone active form,Cell wall/membrane/envelope biogenesis,hdeAB-yhiD,"RcsB,RpoD,oxyS,TorR,RpoS,Lrp,MarA,PhoP,GadX,GadW,H-NS,FliZ,GadE,ppGpp",True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11398
b3509,-0.2094669149,hdeB,periplasmic acid stress chaperone,Cell wall/membrane/envelope biogenesis,hdeAB-yhiD,"RcsB,RpoD,TorR,gcvB,RpoS,Lrp,MarA,PhoP,GadX,GadW,H-NS,FliZ,GadE,ppGpp",True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11399
