locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,link
PA4141,0.13939247100000002,PA4141,,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4141&e1=1&assembly=complete
PA4739,0.116046694,PA4739,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4739&e1=1&assembly=complete
PA1777,0.094906635,oprF,,outer membrane porin F,Cell wall/membrane/envelope biogenesis,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1777&e1=1&assembly=complete
PA4463,0.08878886200000001,PA4463,,hypothetical protein,"Translation, ribosomal structure and biogenesis",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4463&e1=1&assembly=complete
PA4607,0.086626373,PA4607,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4607&e1=1&assembly=complete
PA1041,0.08577079800000001,PA1041,,hypothetical protein,Cell wall/membrane/envelope biogenesis,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1041&e1=1&assembly=complete
PA4874,0.08324511200000001,PA4874,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4874&e1=1&assembly=complete
PA4407,0.082757537,ftsZ,,cell division protein FtsZ,"Cell cycle control, cell division, chromosome partitioning",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4407&e1=1&assembly=complete
PA2853,0.0814536,oprI,,outer membrane lipoprotein OprI,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2853&e1=1&assembly=complete
PA2507,0.080506877,catA,,catechol 1%2C2-dioxygenase,"Secondary metabolites biosynthesis, transport, and catabolism",AntR,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2507&e1=1&assembly=complete
PA1588,0.080153376,sucC,,succinyl-CoA ligase subunit beta,Nucleotide transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1588&e1=1&assembly=complete
PA3691,0.07809977,PA3691,,hypothetical protein,Cell wall/membrane/envelope biogenesis,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3691&e1=1&assembly=complete
PA4578,0.077087715,PA4578,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4578&e1=1&assembly=complete
PA1337,0.076630406,ansB,,glutaminase-asparaginase,Amino acid transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1337&e1=1&assembly=complete
PA3049,0.07509017700000001,rmf,,ribosome modulation factor,"Translation, ribosomal structure and biogenesis",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3049&e1=1&assembly=complete
PA3040,0.07144371100000001,PA3040,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3040&e1=1&assembly=complete
PA1323,0.06643496900000001,PA1323,,hypothetical protein,Signal transduction mechanisms,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1323&e1=1&assembly=complete
PA3786,0.065467283,PA3786,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3786&e1=1&assembly=complete
PA4525,0.064482656,pilA,,type 4 fimbrial protein PilA,Cell motility,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4525&e1=1&assembly=complete
PA1244,0.063973271,PA1244,,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1244&e1=1&assembly=complete
PA2966,0.062874102,acpP,,acyl carrier protein,Lipid transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2966&e1=1&assembly=complete
PA4352,0.059990289,PA4352,,hypothetical protein,Signal transduction mechanisms,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4352&e1=1&assembly=complete
PA0973,0.05991236900000001,oprL,,peptidoglycan associated lipoprotein OprL,Cell wall/membrane/envelope biogenesis,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0973&e1=1&assembly=complete
PA0423,0.059014902,pasP,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0423&e1=1&assembly=complete
PA4351,0.05880416,PA4351,,acyltransferase,Lipid transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4351&e1=1&assembly=complete
PA4242,0.058765531,rpmJ,,50S ribosomal protein L36,"Translation, ribosomal structure and biogenesis",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4242&e1=1&assembly=complete
