locus,gene_weight,gene_name,gene_product,cog,operon,regulator,TyrR,link
b2601,0.5099325545,aroF,3-deoxy-7-phosphoheptulonate synthase%2C Tyr-sensitive,Amino acid transport and metabolism,aroF-tyrA,"RpoD,SoxR,TyrR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10078
b2600,0.43345098200000004,tyrA,fused chorismate mutase/prephenate dehydrogenase,Amino acid transport and metabolism,aroF-tyrA,"RpoD,SoxR,TyrR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11039
b0388,0.1724022398,aroL,shikimate kinase 2,Nucleotide transport and metabolism,aroL-yaiA-aroM,"RpoD,TyrR,TrpR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10082
b0112,0.1687671623,aroP,aromatic amino acid:H(+) symporter AroP,"Intracellular trafficking, secretion, and vesicular transport",aroP,"RpoD,Cra,TyrR,ArgR,Fnr,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10084
b1907,0.15098606050000002,tyrP,tyrosine:H(+) symporter,Amino acid transport and metabolism,tyrP,"RpoD,IHF,HU,TyrR,ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11041
b1264,0.1147066761,trpE,anthranilate synthase subunit TrpE,Amino acid transport and metabolism,trpLEDCBA,"RpoD,TrpR,Trp-tRNA,rydC",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11028
b2602,0.11074063020000001,yfiL,DUF2799 domain-containing lipoprotein YfiL,Function unknown,yfiL,"Nac,GlaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12446
b0389,0.0948728754,yaiA,protein YaiA,Function unknown,aroL-yaiA-aroM,"RpoD,YfeC,TrpR,TyrR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11093
b4054,0.0946788918,tyrB,tyrosine aminotransferase,Amino acid transport and metabolism,tyrB,"RpoD,TyrR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11040
b1263,0.0871223883,trpD,anthranilate synthase subunit TrpD,Nucleotide transport and metabolism,trpLEDCBA,"RpoD,TrpR,Trp-tRNA",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11027
