locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,link
PA2478,0.237363643,PA2478,,thiol:disulfide interchange protein DsbD,Energy production and conversion,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2478&e1=1&assembly=complete
PA2506,0.23462456,PA2506,,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2506&e1=1&assembly=complete
PA2477,0.23180053800000003,PA2477,,thiol:disulfide interchange protein,Energy production and conversion,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2477&e1=1&assembly=complete
PA2476,0.22741495,dsbG,,thiol:disulfide interchange protein DsbG,"Post-translational modification, protein turnover,and chaperones",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2476&e1=1&assembly=complete
PA2480,0.202956824,PA2480,,two-component sensor,Signal transduction mechanisms,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2480&e1=1&assembly=complete
PA4803,0.173887805,PA4803,,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4803&e1=1&assembly=complete
PA2479,0.16047270100000002,PA2479,,two-component response regulator,Signal transduction mechanisms,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2479&e1=1&assembly=complete
PA2495,0.152563407,oprN,,multidrug efflux outer membrane protein OprN,Cell wall/membrane/envelope biogenesis,"MexS,MexT",https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2495&e1=1&assembly=complete
PA2494,0.148726569,mexF,,resistance-nodulation-cell division (RND) multidrug efflux transporter MexF,"Intracellular trafficking, secretion, and vesicular transport","MexS,MexT",https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2494&e1=1&assembly=complete
PA2475,0.10538362,PA2475,,cytochrome P450,"Secondary metabolites biosynthesis, transport, and catabolism",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2475&e1=1&assembly=complete
PA0538,0.09658140200000001,dsbB,,disulfide bond formation protein,"Post-translational modification, protein turnover,and chaperones",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0538&e1=1&assembly=complete
