locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
b2417,0.1499980871,crr,Enzyme IIA(Glc),Carbohydrate transport and metabolism,ptsHI-crr,"RpoD,RpoH,RpoS,NagC,Cra,Crp,Mlc",https://ecocyc.org/gene?orgid=ECOLI&id=EG10165
b2416,0.1383969054,ptsI,PTS enzyme I,Carbohydrate transport and metabolism,ptsHI-crr,"RpoD,RpoH,NagC,Crp,Cra,Mlc",https://ecocyc.org/gene?orgid=ECOLI&id=EG10789
b4523,0.1258923972,yciX,uncharacterized protein YciX,No COG annotation,ymiA-yciX,"RpoD,YjjQ",https://ecocyc.org/gene?orgid=ECOLI&id=G0-10513
b4522,0.1011384795,ymiA,uncharacterized protein YmiA,No COG annotation,ymiA-yciX,"RpoD,YjjQ",https://ecocyc.org/gene?orgid=ECOLI&id=G0-10512
b2415,0.0917826321,ptsH,phosphocarrier protein HPr,Carbohydrate transport and metabolism,ptsHI-crr,"RpoD,RpoH,NagC,Crp,Cra,Mlc",https://ecocyc.org/gene?orgid=ECOLI&id=EG10788
b1481,0.0821635315,bdm,biofilm-dependent modulation protein,Function unknown,bdm-sra,RcsB,https://ecocyc.org/gene?orgid=ECOLI&id=G6776
b1974,0.07421319950000001,yodB,putative cytochrome,Energy production and conversion,yodB,"YeiE,ppGpp,GlaR",https://ecocyc.org/gene?orgid=ECOLI&id=G7062
b3555,0.069736694,yiaG,putative DNA-binding transcriptional regulator YiaG,Transcription,yiaG,"YehT,YidL,YhjC,RpoS,Lrp,ppGpp",https://ecocyc.org/gene?orgid=ECOLI&id=EG12624
b3774,0.0616320754,ilvC,ketol-acid reductoisomerase (NADP(+)),Amino acid transport and metabolism,ilvC,"RpoD,gcvB,IlvY",https://ecocyc.org/gene?orgid=ECOLI&id=EG10495
b1271,-0.060614751,yciK,putative oxidoreductase,Lipid transport and metabolism,yciK-btuR,,https://ecocyc.org/gene?orgid=ECOLI&id=EG11759
b3013,-0.0611902801,yqhG,DUF3828 domain-containing protein YqhG,Function unknown,yqhG,RcsB-BglJ,https://ecocyc.org/gene?orgid=ECOLI&id=G7566
b0865,-0.0612974791,ybjP,DUF3828 domain-containing lipoprotein YbjP,Cell wall/membrane/envelope biogenesis,ybjP,"YbaQ,RpoS,ppGpp,Nac",https://ecocyc.org/gene?orgid=ECOLI&id=G6450
b0028,-0.0616544559,fkpB,peptidyl-prolyl cis-trans isomerase FkpB,"Post-translational modification, protein turnover,and chaperones",ribF-ileS-lspA-fkpB-ispH,"RpoD,RpoH",https://ecocyc.org/gene?orgid=ECOLI&id=EG11080
b2922,-0.061835041400000006,yggE,uncharacterized protein YggE,Function unknown,yggE,"YcjW,RpoS,ppGpp",https://ecocyc.org/gene?orgid=ECOLI&id=EG11244
b3821,-0.0621341523,pldA,outer membrane phospholipase A,Cell wall/membrane/envelope biogenesis,pldA,"RpoD,Nac,ArcA",https://ecocyc.org/gene?orgid=ECOLI&id=EG10738
b2317,-0.062253112400000005,dedA,DedA family protein DedA,Function unknown,pdxB-usg-truA-dedA,Lrp,https://ecocyc.org/gene?orgid=ECOLI&id=EG10216
b3011,-0.0632280857,yqhD,NADPH-dependent aldehyde reductase YqhD,Energy production and conversion,yqhD-dkgA,"RpoD,YqhC",https://ecocyc.org/gene?orgid=ECOLI&id=G7564
b0453,-0.0635178763,ybaY,PF09619 family lipoprotein YbaY,Function unknown,ybaY,oxyS,https://ecocyc.org/gene?orgid=ECOLI&id=G6250
b1115,-0.06393213560000001,ycfT,inner membrane protein YcfT,Function unknown,ycfT,,https://ecocyc.org/gene?orgid=ECOLI&id=G6572
b3234,-0.06442012280000001,degQ,periplasmic serine endoprotease,Cell wall/membrane/envelope biogenesis,degQS,RpoD,https://ecocyc.org/gene?orgid=ECOLI&id=G7682
b0005,-0.06530014020000001,yaaX,DUF2502 domain-containing protein YaaX,Function unknown,yaaX,Lrp,https://ecocyc.org/gene?orgid=ECOLI&id=G6081
b0819,-0.0655400181,ldtB,L%2CD-transpeptidase YbiS,Cell wall/membrane/envelope biogenesis,ldtB,"Rob,Crp,ppGpp",https://ecocyc.org/gene?orgid=ECOLI&id=G6422
b4241,-0.0665472919,treR,DNA-binding transcriptional repressor TreR,Transcription,treR,"RpoD,YdhB,YqhC,YhjC,YedW,PhoP",https://ecocyc.org/gene?orgid=ECOLI&id=EG12202
b2086,-0.0671119595,yegS,lipid kinase,Nucleotide transport and metabolism,yegS,ppGpp,https://ecocyc.org/gene?orgid=ECOLI&id=G7123
b2326,-0.0671541963,epmC,EF-P-Lys34 hydroxylase,Function unknown,prmB-aroC-mepA-yfcA-epmC-yfcL,,https://ecocyc.org/gene?orgid=ECOLI&id=G7201
b0891,-0.067655112,lolA,outer membrane lipoprotein carrier protein,Cell wall/membrane/envelope biogenesis,lolA-rarA,"RpoD,RcsB,Lrp",https://ecocyc.org/gene?orgid=ECOLI&id=G6465
b0268,-0.0679485997,yagE,CP4-6 prophage%3B putative 2-keto-3-deoxygluconate aldolase,Amino acid transport and metabolism,yagEF,XynR,https://ecocyc.org/gene?orgid=ECOLI&id=G6140
b1762,-0.070027474,ynjI,DUF1266 domain-containing protein YnjI,Function unknown,ynjI,RcsB-BglJ,https://ecocyc.org/gene?orgid=ECOLI&id=G6956
b3192,-0.0701198187,mlaC,intermembrane phospholipid transport system - periplasmic binding protein,"Secondary metabolites biosynthesis, transport, and catabolism",mlaFEDCB,MarA,https://ecocyc.org/gene?orgid=ECOLI&id=G7659
b2753,-0.07029807140000001,iap,alkaline phosphatase isozyme conversion protein,Function unknown,iap,,https://ecocyc.org/gene?orgid=ECOLI&id=EG10488
b3191,-0.0741824365,mlaB,intermembrane phospholipid transport system protein MlaB,Function unknown,mlaFEDCB,MarA,https://ecocyc.org/gene?orgid=ECOLI&id=G7658
b2921,-0.0764855423,ygfI,putative LysR-type DNA-binding transcriptional regulator YgfI,Transcription,ygfI,Nac,https://ecocyc.org/gene?orgid=ECOLI&id=G7518
b1414,-0.0797805015,ydcF,DUF218 domain-containing protein YdcF,Function unknown,ydcF,,https://ecocyc.org/gene?orgid=ECOLI&id=EG12110
b1063,-0.080026362,yceB,putative lipid-binding lipoprotein YceB,Function unknown,yceB,Lrp,https://ecocyc.org/gene?orgid=ECOLI&id=EG11117
b0412,-0.0826139007,yajI,putative lipoprotein YajI,Cell wall/membrane/envelope biogenesis,yajI,YfeC,https://ecocyc.org/gene?orgid=ECOLI&id=EG12874
b1735,-0.08263696920000001,chbR,DNA-binding transcriptional dual regulator ChbR,Transcription,chbBCARFG,"Crp,ChbR,NagC",https://ecocyc.org/gene?orgid=ECOLI&id=EG10143
b4326,-0.0831629951,iraD,anti-adaptor protein IraD%2C inhibitor of sigma(S) proteolysis,Function unknown,ytiCD-idlP-iraD,"RpoD,RpoS,Fnr,CsrA,Lrp,ppGpp,DksA",https://ecocyc.org/gene?orgid=ECOLI&id=G7923
b4487,-0.0838886876,yjdP,protein YjdP,No COG annotation,yjdP,GlaR,https://ecocyc.org/gene?orgid=ECOLI&id=G0-9541
b4536,-0.0901192098,yobH,protein YobH,Function unknown,yobH,,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10454
