locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Fur,link
b4367,0.2979017372,fhuF,hydroxamate siderophore iron reductase,Function unknown,fhuF,"RpoD,YciT,OxyR,Fur,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7949
b3337,0.2051254395,bfd,bacterioferritin-associated ferredoxin,Inorganic ion transport and metabolism,bfd-bfr,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11181
b0150,0.2019644961,fhuA,ferrichrome outer membrane transporter/phage receptor,Inorganic ion transport and metabolism,fhuACDB,"RpoD,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10302
b3006,0.1891943127,exbB,Ton complex subunit ExbB,"Intracellular trafficking, secretion, and vesicular transport",exbBD,"RpoD,Fur,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10271
b0590,0.1867948519,fepD,ferric enterobactin ABC transporter membrane subunit FebD,Inorganic ion transport and metabolism,fepDGC,"RpoD,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10296
b0591,0.1744151965,entS,enterobactin exporter EntS,Amino acid transport and metabolism,entS,"RpoD,YdhB,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11104
b1252,0.1701337466,tonB,Ton complex subunit TonB,"Intracellular trafficking, secretion, and vesicular transport",tonB,"RpoD,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11012
b3005,0.1653580113,exbD,Ton complex subunit ExbD,"Intracellular trafficking, secretion, and vesicular transport",exbBD,"RpoD,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10272
b4293,0.1606672043,fecI,RNA polymerase sigma factor FecI,Transcription,fecIR,"RpoD,SlyA,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10291
b3408,0.1527002458,feoA,ferrous iron transport protein A,Inorganic ion transport and metabolism,feoABC,"RpoD,Fnr,NagC,Fur,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12101
