locus,comp,gene_name,product,operon,TF,rpoH,link
b3686,0.22266935257399997,ibpB,small heat shock protein IbpB,ibpAB,"ihf, nac, rpoH, rpoN",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11535
b3687,0.2072247820900001,ibpA,small heat shock protein IbpA,ibpAB,"nac, rpoH",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11534
b0014,0.191624011862,dnaK,chaperone protein DnaK,dnaK-tpke11-dnaJ,"rpoH, ybiH",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10241
b4142,0.190992546964,groS,GroES cochaperonin,groSL,"fnr, rpoD, rpoH",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10600
b0473,0.18351778517499998,htpG,"molecular chaperone, HSP90 family",htpG,"ascG, nac, rpoH, rpoN, yeiE",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10461
b4143,0.177495491171,groL,GroEL chaperonin,groSL,"fnr, rpoD, rpoH",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10599
b2592,0.167037095252,clpB,ClpB chaperone,clpB,"rpoD, rpoH",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10157
b0015,0.141166154395,dnaJ,chaperone protein DnaJ,dnaK-tpke11-dnaJ,rpoH,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10240
b1321,0.136780914297,ycjX,conserved protein,ycjXF-tyrR,"pgrR, rpoH, ybiH",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6659
b4140,0.12165705339000002,fxsA,inner membrane protein; overproduction inhibits F exclusion of bacteriophage T7,fxsA,rpoH,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7832
b3932,0.116192029441,hslV,peptidase component of the HslVU protease,hslVU,rpoH,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11676
b3931,0.112191848923,hslU,ATPase component of the HslVU protease,hslVU,rpoH,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11881
b1322,0.107605249044,ycjF,conserved inner membrane protein,ycjXF-tyrR,"pgrR, rpoH",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12870
