locus,gene_weight,gene_name,gene_product,cog,operon,regulator,EAR riboswitch,link
BSU_34370,0.1756736883087834,epsA,modulator of protein tyrosine kinase EpsB involved in biofilm matrix formation,Cell wall/membrane/envelope biogenesis,Op2682,"SigA,SinR,RemA,AbrB,EAR riboswitch",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_34370
BSU_34360,0.1754419762797534,epsB,protein tyrosine kinase involved in biofilm matrix formation,"Cell cycle control, cell division, chromosome partitioning",Op2682,"SigA,SinR,RemA,AbrB,EAR riboswitch",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_34360
BSU_24630,0.1712140082954106,sipW,type I signal peptidase,"Intracellular trafficking, secretion, and vesicular transport",Op1955,"SigA,SinR,RemA,AbrB,LutR",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_24630
BSU_34290,0.17030895272126007,epsI,putative polysaccharide pyruvyl transferase involved in biofilm matrix formation,Carbohydrate transport and metabolism,Op2682,"SigA,SinR,RemA,AbrB,EAR riboswitch",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_34290
BSU_24640,0.16325289464963896,tapA,lipoprotein for biofilm formation,No COG annotation,Op1955,"SigA,SinR,RemA,AbrB,LutR",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_24640
BSU_34340,0.161121258815824,epsD,putative extracellular matrix glycosyltransferase,Cell wall/membrane/envelope biogenesis,Op2682,"SigA,SinR,RemA,AbrB,EAR riboswitch",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_34340
BSU_34230,0.15808367808111318,epsN,putative aminotransferase involved in biofilm matrix formation,Amino acid transport and metabolism,Op2682,"SigA,SinR,RemA,AbrB,EAR riboswitch",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_34230
BSU_34250,0.15773143316455832,epsL,putative phosphotransferase involved in extracellular matrix synthesis,Cell wall/membrane/envelope biogenesis,Op2682,"SigA,SinR,RemA,AbrB,EAR riboswitch",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_34250
BSU_34310,0.15463884330126365,epsG,biofilm extracellular matrix formation chain-length determining factor,Function unknown,Op2682,"SigA,SinR,RemA,AbrB,EAR riboswitch",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_34310
BSU_34330,0.15363516670665342,epsE,bifunctional flagellar clutch and glycosyltransferase acting during biofilm formation,Cell wall/membrane/envelope biogenesis,Op2682,"SigA,SinR,RemA,AbrB,EAR riboswitch",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_34330
BSU_34265,0.15277145828854236,epsK,putative extracellular matrix component exporter%3B putative cyclic di-GMP receptor,Function unknown,Op2682,"SigA,SinR,RemA,AbrB,EAR riboswitch",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_34265
BSU_34320,0.15267858043867688,epsF,putative glycosyltransferase involved in matrix formation (chain-length determination),Cell wall/membrane/envelope biogenesis,Op2682,"SigA,SinR,RemA,AbrB,EAR riboswitch",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_34320
BSU_34300,0.1492080472028253,epsH,putative glycosyltransferase involved in biofilm formation,Function unknown,Op2682,"SigA,SinR,RemA,AbrB,EAR riboswitch",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_34300
BSU_34240,0.14444992543923818,epsM,putative O-acetyltransferase involved in biofilm matrix formation,Carbohydrate transport and metabolism,Op2682,"SigA,SinR,RemA,AbrB,EAR riboswitch",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_34240
BSU_34280,0.14435585739747303,epsJ,putative glycosyl transferase involved in biofilm matrix formation,Function unknown,Op2682,"SigA,SinR,RemA,AbrB,EAR riboswitch",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_34280
BSU_34380,0.1384088421622306,slrR,transcriptional regulator of autolysin genes (biofilm formation),Transcription,Op2683,"Abh,SinR,AbrB",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_34380
BSU_34350,0.13692436055512242,epsC,putative UDP-sugar epimerase involved in biofilm matrix formation,Carbohydrate transport and metabolism,Op2682,"SigA,SinR,RemA,AbrB,EAR riboswitch",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_34350
BSU_34220,0.12619441300874976,epsO,pyruvyl transferase for matrix biofilm formation,Carbohydrate transport and metabolism,Op2682,"SigA,SinR,RemA,AbrB,EAR riboswitch",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_34220
