locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Xre,Xpf,link
BSU_12649,0.17435962828741064,ykzM,phage PBSX%3B conserved hypothetical protein,No COG annotation,Op980,,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_12649
BSU_12640,0.16550503194326496,xkdJ,phage PBSX%3B conserved hypothetical protein,No COG annotation,Op980,Xpf,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_12640
BSU_12650,0.16484052903136592,xkdK,phage PBSX%3B conserved hypothetical protein,Function unknown,Op980,Xpf,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_12650
BSU_12620,0.1646522517519998,xkdH,phage PBSX%3B conserved hypothetical protein,Function unknown,Op980,Xpf,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_12620
BSU_12790,0.16396089604140068,xhlA,phage PBSX%3B putative enzyme,Function unknown,Op995,Xpf,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_12790
BSU_12619,0.16334514576710302,ykzL,phage PBSX%3B conserved hypothetical protein,Function unknown,Op980,,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_12619
BSU_12800,0.16327699227764492,xhlB,phage PBSX%3B holin,Function unknown,Op996,Xpf,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_12800
BSU_12570,0.16288738698930336,xtmA,phage PBSX%3B prophage terminase (small subunit),"Replication, recombination and repair",Op980,Xpf,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_12570
BSU_12610,0.16109041562875814,xkdG,phage PBSX%3B putative phage chromosome binding protein,Function unknown,Op980,Xpf,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_12610
BSU_12660,0.15965593494812885,xkdM,phage PBSX%3B conserved hypothetical protein,Function unknown,Op980,Xpf,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_12660
BSU_12770,0.15957524891493874,xkdX,phage PBSX%3B conserved hypothetical protein,No COG annotation,Op993,Xpf,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_12770
BSU_12671,0.1593328484178502,xkdN,phage PBSX%3B conserved hypothetical protein,Function unknown,Op981,Xpf,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_12671
