locus,gene_weight,gene_name,gene_product,COG,operon,regulator,CysB,link
b3917,0.3420742384,sbp,sulfate/thiosulfate ABC transporter periplasmic binding protein Sbp,Inorganic ion transport and metabolism,sbp,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10929
b1987,0.2654729206,cbl,DNA-binding transcriptional activator Cbl,Transcription,cbl,"RpoD,YdcR,NtrC,CysB,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7071
b0365,0.19407036530000002,tauA,taurine ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,tauABCD,"YidZ,Cbl,CysB,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6217
b0366,0.1780632312,tauB,taurine ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,tauABCD,"Cbl,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6218
b3661,0.1704691585,nlpA,lipoprotein-28,Cell wall/membrane/envelope biogenesis,nlpA,"ppGpp,CsgD,GlaR,gcvB",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10657
b4326,0.1583214045,iraD,anti-adaptor protein IraD%2C inhibitor of sigma(S) proteolysis,Function unknown,ytiCD-idlP-iraD,"RpoD,RpoS,Fnr,CsrA,Lrp,ppGpp,DksA",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7923
b1287,0.15409562640000002,yciW,putative oxidoreductase,Function unknown,yciW,"RpoD,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6640
b1920,0.1519167851,tcyJ,cystine ABC transporter periplasmic binding protein,Amino acid transport and metabolism,fliAZ-tcyJ,"RpoD,omrA,omrB,H-NS,FliA,CysB,IHF,NsrR,EcpR,SutR,CsgD,FlhDC,gcvB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7039
b2749,0.14763717640000001,ygbE,conserved inner membrane protein YgbE,Function unknown,ygbE,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12707
b0367,0.1417515016,tauC,taurine ABC transporter membrane subunit,Inorganic ion transport and metabolism,tauABCD,"Cbl,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6219
b0368,0.1136357476,tauD,taurine dioxygenase,"Secondary metabolites biosynthesis, transport, and catabolism",tauABCD,"Cbl,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12423
b1919,0.1075535988,dcyD,D-cysteine desulfhydrase,Amino acid transport and metabolism,dcyD-tcyLN,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7038
b1918,0.1069880502,tcyL,cystine ABC transporter membrane subunit,Inorganic ion transport and metabolism,dcyD-tcyLN,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7037
b1917,0.1040322605,tcyN,cystine ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,dcyD-tcyLN,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12347
b3918,0.0980703258,cdh,CDP-diacylglycerol diphosphatase,Lipid transport and metabolism,cdh,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10138
b2750,0.0805207218,cysC,adenylyl-sulfate kinase,Nucleotide transport and metabolism,cysDNC,"RpoD,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10185
b1660,-0.0772420268,ydhC,putative transporter YdhC,Amino acid transport and metabolism,ydhC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12141
b2012,-0.08518780220000001,yeeD,putative sulfurtransferase YeeD,"Post-translational modification, protein turnover,and chaperones",yeeED,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11894
b1852,-0.10328683420000001,zwf,NADP(+)-dependent glucose-6-phosphate dehydrogenase,Nucleotide transport and metabolism,zwf,"RpoD,YciT,Fur,Fnr,Cra,MarA,Rob,SoxS",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11221
