locus,gene_weight,gene_name,gene_product,cog,operon,regulator,YcjW,link
b1309,0.3273090175,ycjM,glucosylglycerate phosphorylase,Carbohydrate transport and metabolism,ycjMNOPQRSTUV-ymjB,YcjW,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6647
b1310,0.3068062382,ycjN,putative ABC transporter periplasmic binding protein YcjN,Carbohydrate transport and metabolism,ycjMNOPQRSTUV-ymjB,"YcjW,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6648
b1312,0.2553562945,ycjP,putative ABC transporter membrane subunit YcjP,Inorganic ion transport and metabolism,,"GlaR,YcjW",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6650
b1311,0.2481355912,ycjO,putative ABC transporter membrane subunit YcjO,Inorganic ion transport and metabolism,,YcjW,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6649
b1314,0.2475987731,ycjR,putative ketohexose-3-epimerase YcjR,Carbohydrate transport and metabolism,,YcjW,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6652
b1313,0.2256732905,ycjQ,putative zinc-binding dehydrogenase YcjQ,Amino acid transport and metabolism,ycjMNOPQRSTUV-ymjB,YcjW,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6651
b1318,0.21612859010000002,ycjV,putative ABC transporter ATP-binding protein YcjV,Inorganic ion transport and metabolism,,YcjW,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6656
b1315,0.2026240041,ycjS,putative oxidoreductase YcjS,Function unknown,ycjMNOPQRSTUV-ymjB,YcjW,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6653
b1317,0.1874007125,ycjU,beta-phosphoglucomutase,Function unknown,,YcjW,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6655
b1319,0.1786617894,ompG,outer membrane porin G,Cell wall/membrane/envelope biogenesis,ompG,YcjW,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6657
b1316,0.1584297449,ycjT,kojibiose phosphorylase,Carbohydrate transport and metabolism,ycjMNOPQRSTUV-ymjB,YcjW,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6654
b1596,0.1466644624,ynfM,putative transporter YnfM,Amino acid transport and metabolism,ynfM,YidZ,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6854
b1320,-0.0906963992,ycjW,putative LacI-type DNA-binding transcriptional regulator YcjW,Transcription,ycjW,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6658
b0197,-0.0958757455,metQ,L-methionine/D-methionine ABC transporter membrane anchored binding protein,Inorganic ion transport and metabolism,metNIQ,"RpoD,MetJ,HypT",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11504
b1687,-0.1107556955,ydiJ,putative FAD-linked oxidoreductase,Energy production and conversion,ydiJ-menI-ydiH,YeiE,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6913
b1686,-0.16346420350000002,menI,1%2C4-dihydroxy-2-naphthoyl-CoA hydrolase,"Secondary metabolites biosynthesis, transport, and catabolism",ydiJ-menI-ydiH,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6912
