locus,gene_weight,gene_name,gene_product,COG,operon,regulator,ZntR,Zur,link
b1973,0.5455235348,zinT,metal-binding protein ZinT,Function unknown,zinT,"RpoD,OxyR,SoxS,Zur,Fur",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7061
b0296,0.47416087570000004,ykgM,putative ribosomal protein,"Translation, ribosomal structure and biogenesis",ykgMO,"RpoD,Zur",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6167
b1857,0.321215215,znuA,Zn(2(+)) ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,znuA,"OxyR,RpoS,Zur,OmpR,Nac",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7017
b4506,0.2284735884,ykgO,putative ribosomal protein,"Translation, ribosomal structure and biogenesis",ykgMO,"RpoD,Zur",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10434
b1178,0.213437393,pliG,inhibitor of g-type lysozyme,Function unknown,pliG,"GlaR,Zur",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6615
b1856,0.1630961578,mepM,peptidoglycan DD-endopeptidase MepM,Cell wall/membrane/envelope biogenesis,mepM,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10013
b1974,0.1581236379,yodB,putative cytochrome,Energy production and conversion,yodB,"YeiE,ppGpp,GlaR",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7062
b1858,0.1493852733,znuC,Zn(2(+)) ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,znuCB,"RpoD,OxyR,Zur,ppGpp",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7018
b1859,0.1314322959,znuB,Zn(2(+)) ABC transporter membrane subunit,Inorganic ion transport and metabolism,znuCB,"RpoD,OxyR,Zur,ppGpp",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12368
b0484,0.10892195210000001,copA,Cu(+) exporting P-type ATPase,Inorganic ion transport and metabolism,copA,"RpoD,OmpR,CueR",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6260
b0123,0.0789797712,cueO,cuprous oxidase/multicopper oxidase with role in copper homeostasis,"Secondary metabolites biosynthesis, transport, and catabolism",cueO,"ryhB,CueR",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12318
b3469,-0.108502256,zntA,Zn(2(+))/Cd(2(+))/Pb(2(+)) exporting P-type ATPase,Inorganic ion transport and metabolism,zntA,"RpoD,ZntR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12215
