locus,gene_weight,gene_name,gene_product,cog,operon,regulator,NarL,DcuR,Fnr,link
b4153,0.2849817298,frdB,fumarate reductase iron-sulfur protein,Energy production and conversion,frdABCD,"RpoD,RpoS,Fnr,NarL,DcuR,Lrp",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10331
b4152,0.2830372901,frdC,fumarate reductase membrane protein FrdC,Energy production and conversion,frdABCD,"RpoD,RpoS,Fnr,NarL,DcuR",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10332
b4151,0.2588278154,frdD,fumarate reductase membrane protein FrdD,Energy production and conversion,frdABCD,"RpoD,RpoS,Fnr,NarL,DcuR",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10333
b4154,0.21561416830000002,frdA,fumarate reductase flavoprotein subunit,Energy production and conversion,frdABCD,"RpoD,ryhB,RpoS,Fnr,NarL,DcuR,Lrp",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10330
b4123,0.1848946878,dcuB,anaerobic C4-dicarboxylate transporter DcuB,Function unknown,dcuB-fumB,"RpoD,YidZ,Fnr,Crp,NarL,DcuR,ArcA",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10006
b4122,0.163706747,fumB,fumarase B,Energy production and conversion,dcuB-fumB,"RpoD,Fis,Crp,ArcA,Fur,Fnr,NarL,DcuR",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10357
b2996,0.15335684800000002,hybA,hydrogenase 2 iron-sulfur protein,Energy production and conversion,hybOABCDEFG,"RpoD,ArcA,NarL",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11799
b0895,0.1378026838,dmsB,dimethyl sulfoxide reductase subunit B,Energy production and conversion,dmsABC,"RpoD,Fis,ModE,IHF,NarL,Fnr",True,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10233
b2997,0.114858046,hybO,hydrogenase 2 small subunit,Energy production and conversion,hybOABCDEFG,"RpoD,ryhB,ArcA,NarL",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7554
b2995,0.1101717506,hybB,hydrogenase 2 membrane subunit,Energy production and conversion,hybOABCDEFG,"RpoD,YbaQ,ArcA,NarL",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11800
b2728,0.1052218348,hypC,hydrogenase 3 maturation protein HypC,"Post-translational modification, protein turnover,and chaperones",hypABCDE-fhlA,"RpoN,NsrR,IHF,FhlA,Fnr",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10485
b4139,0.1022975255,aspA,aspartate ammonia-lyase,Amino acid transport and metabolism,aspA-dcuA,"RpoD,Fnr,Crp,NarL,DcuR,Lrp",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10095
b2343,0.08973029960000001,yfcZ,DUF406 domain-containing protein YfcZ,Function unknown,yfcZ,"Fnr,Lrp,ppGpp",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7214
b0896,0.08761046630000001,dmsC,dimethyl sulfoxide reductase subunit C,Function unknown,dmsABC,"RpoD,Fis,ModE,IHF,NarL,Fnr",True,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10234
b0894,0.0836235399,dmsA,dimethyl sulfoxide reductase subunit A,Energy production and conversion,dmsABC,"RpoD,YciT,Fis,ModE,IHF,NarL,Fnr",True,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10232
