locus,gene_weight,gene_name,gene_product,cog,regulator,PrrF,link
PA2027,0.26953042520000003,PA2027,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2027&e1=1&assembly=complete
PA3121,0.21453814200000001,leuC,3-isopropylmalate dehydratase large subunit,Amino acid transport and metabolism,PrrF,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3121&e1=1&assembly=complete
PA3119,0.2101547023,PA3119,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3119&e1=1&assembly=complete
PA3120,0.2054772416,leuD,isopropylmalate isomerase small subunit,Amino acid transport and metabolism,PrrF,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3120&e1=1&assembly=complete
PA3792,0.1789884414,leuA,2-isopropylmalate synthase,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3792&e1=1&assembly=complete
PA3965,0.1401367687,PA3965,transcriptional regulator,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3965&e1=1&assembly=complete
PA3118,0.1360860971,leuB,3-isopropylmalate dehydrogenase,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3118&e1=1&assembly=complete
PA3963a,0.1296716114,PA3963a,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3963a&e1=1&assembly=complete
PA4696,0.1063670697,ilvI,acetolactate synthase 3 catalytic subunit,Coenzyme transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4696&e1=1&assembly=complete
PA2026,0.0979567749,PA2026,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2026&e1=1&assembly=complete
PA4695,0.0958841509,ilvH,acetolactate synthase small subunit,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4695&e1=1&assembly=complete
