locus,gene_weight,gene_name,gene_product,cog,regulator,DhaR,link
b1200,0.32069684709296,dhaK,dihydroxyacetone kinase subunit K,Carbohydrate transport and metabolism,"YdcN,YhjB,YgfI,YdhB,YgaV,YeaM,RpoS,DhaR,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6627
b1199,0.3020262981307046,dhaL,dihydroxyacetone kinase subunit L,Function unknown,"RpoS,DhaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6626
b1198,0.2704683954596432,dhaM,dihydroxyacetone kinase subunit M,Carbohydrate transport and metabolism,"RpoS,DhaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12399
b1101,0.1713128640894269,ptsG,glucose-specific PTS enzyme IIBC component,Carbohydrate transport and metabolism,"RpoD,sgrS,Crp,ArcA,Mlc,Fis,SoxS",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10787
b1817,0.1605487535836981,manX,mannose-specific PTS enzyme IIAB component,Carbohydrate transport and metabolism,"RpoD,Crp,NagC,Mlc,Cra,dicF,Hfq,sgrS",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10567
b1818,0.1427858632340735,manY,mannose-specific PTS enzyme IIC component,Carbohydrate transport and metabolism,"RpoD,Crp,NagC,Mlc,Cra,sgrS",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10568
b3599,0.1391128399693661,mtlA,mannitol-specific PTS enzyme IICBA component,Carbohydrate transport and metabolism,"RpoD,Fis,Crp,Cra",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10615
b1819,0.1374242144386573,manZ,mannose-specific PTS enzyme IID component,Carbohydrate transport and metabolism,"RpoD,Crp,NagC,Mlc,Cra,sgrS",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10569
b2943,0.1252833161822112,galP,galactose:H(+) symporter,Amino acid transport and metabolism,"RpoD,Crp,OmpR,NagC,GalR,GalS",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12148
b3600,0.1169371336802381,mtlD,mannitol-1-phosphate 5-dehydrogenase,Carbohydrate transport and metabolism,"RpoD,YfeC,Fis,Crp,Cra",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10616
b3601,0.1114887536537163,mtlR,transcriptional repressor MtlR,Transcription,"RpoD,Fis,Crp,Cra",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11965
b3418,0.0963113347530095,malT,DNA-binding transcriptional activator MalT,Transcription,"RpoD,YidZ,Mlc,Lrp,Crp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10562
b2416,-0.1092367031833048,ptsI,PTS enzyme I,Carbohydrate transport and metabolism,"RpoD,RpoH,NagC,Crp,Cra,Mlc",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10789
