locus,gene_weight,gene_name,gene_product,COG,operon,regulator,FadR,IclR,link
b0221,0.2311685722,fadE,acyl-CoA dehydrogenase,Lipid transport and metabolism,fadE,"ArcA,ppGpp,FadR,OmpR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6105
b3846,0.2104186357,fadB,dodecenoyl-CoA delta-isomerase%2C enoyl-CoA hydratase%2C 3-hydroxybutyryl-CoA epimerase%2C 3-hydroxyacyl-CoA dehydrogenase,Lipid transport and metabolism,fadBA,"RpoD,YidZ,Fis,FadR,ArcA",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10279
b3845,0.19292865780000001,fadA,3-ketoacyl-CoA thiolase,Lipid transport and metabolism,fadBA,"RpoD,YidZ,Fis,FadR,ArcA",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10278
b0443,0.1730047392,fadM,thioesterase III,Function unknown,fadM,"RpoE,FadR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6244
b2342,0.1625170577,fadI,3-ketoacyl-CoA thiolase FadI,Lipid transport and metabolism,fadIJ,"RpoD,ArcA,FadR,Lrp",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7213
b2341,0.16132852350000002,fadJ,3-hydroxyacyl-CoA dehydrogenase FadJ,Lipid transport and metabolism,fadIJ,"RpoD,ArcA,FadR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7212
b3081,0.1336429308,fadH,2%2C4-dienoyl-CoA reductase,Energy production and conversion,fadH,"Crp,ArcA,FadR,HipB",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G36
b3963,0.1118651452,fabR,DNA-binding transcriptional repressor FabR,Transcription,fabR-yijD,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11394
b4015,0.0838624069,aceA,isocitrate lyase,Energy production and conversion,aceBAK,"RpoD,ArcA,Crp,Cra,ppGpp,IclR,IHF",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10022
b1949,-0.0840007581,fliQ,flagellar biosynthesis protein FliQ,Cell motility,fliLMNOPQR,"RpoD,FliA,FlhDC",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11976
b0954,-0.1331738422,fabA,beta-hydroxyacyl-acyl carrier protein dehydratase/isomerase,Lipid transport and metabolism,fabA,"RpoD,FadR,FabR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10273
b0557,-0.1429678084,borD,DLP12 prophage%3B prophage lipoprotein BorD,Function unknown,borD,"PhoP,Lrp,Nac",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6312
b1187,-0.3216751305,fadR,DNA-binding transcriptional dual regulator FadR,Transcription,fadR,"RpoD,FadR,DksA",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10281
