locus,gene_weight,gene_name,gene_product,cog,regulator,ryhB,IscR,link
b2530,0.2703226671127227,iscS,cysteine desulfurase,Amino acid transport and metabolism,"RpoD,ryhB,IscR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7325
b2531,0.2644346498315567,iscR,DNA-binding transcriptional dual regulator IscR,Transcription,"RpoD,ryhB,YidZ,IscR,fnrS",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7326
b2529,0.245917386096046,iscU,scaffold protein for iron-sulfur cluster assembly,Energy production and conversion,"RpoD,ryhB,IscR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7324
b2527,0.2317497340969444,hscB,co-chaperone for [Fe-S] cluster biosynthesis,"Post-translational modification, protein turnover,and chaperones","RpoD,ryhB",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12131
b2528,0.2228646437129238,iscA,iron-sulfur cluster insertion protein IscA,Function unknown,"RpoD,ryhB,IscR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12132
b2525,0.1721859651199518,fdx,reduced ferredoxin,Energy production and conversion,RpoD,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11328
b2526,0.1678512126138385,hscA,iron-sulfur cluster biosynthesis chaperone HscA,"Post-translational modification, protein turnover,and chaperones","RpoD,YbiH",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12130
b2524,0.1612905293619502,iscX,accessory iron-sulfur cluster assembly protein IscX,Function unknown,RpoD,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12311
b2522,0.1385660844194895,sseB,protein SseB,Function unknown,"ryfA,ryhB",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11601
b2523,0.1328573940788035,pepB,aminopeptidase B,Amino acid transport and metabolism,ryhB,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12310
b3414,0.1319870226809191,nfuA,iron-sulfur cluster carrier protein NfuA,"Post-translational modification, protein turnover,and chaperones","RpoD,RpoH,GntR,Crp,IscR",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7748
