locus,gene_weight,gene_name,gene_product,cog,regulator,argR,link
STM4469,0.3311112611,argI,ornithine carbamoyltransferase 1,Amino acid transport and metabolism,"argR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4469
STM0887,0.3189218438,artJ,arginine 3rd transport system,Amino acid transport and metabolism,"argR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0887
STM4121,0.28735477730000003,argC,N-acetyl-gamma-glutamylphosphate reductase,Amino acid transport and metabolism,"argR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4121
STM3290,0.2132118892,argG,argininosuccinate synthetase,Nucleotide transport and metabolism,"arcA,argR,crp,fnr,nac,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3290
STM2992,0.2130028437,argA,N-alpha-acetylglutamate synthase,Amino acid transport and metabolism,"argR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2992
STM3468,0.1703676651,argD,acetylornithine transaminase,Amino acid transport and metabolism,"argR,phoP,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3468
STM4122,0.16761747100000002,argB,acetylglutamate kinase,Nucleotide transport and metabolism,"argR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4122
STM4123,0.1286972236,argH,argininosuccinate lyase,Amino acid transport and metabolism,"argR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4123
STM0710,0.1248717171,ybgH,putative POT family transport protein,"Intracellular trafficking, secretion, and vesicular transport",argR,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0710
STM0066,0.1103796102,carA,carbamoyl-phosphate synthetase%2C glutamine-hydrolysing small subunit,Nucleotide transport and metabolism,"arcA,argR,fis,ihf,pepA,purR,rpoD,rutR",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0066
