locus,gene_weight,gene_name,gene_product,cog,operon,regulator,stringent response,link
BSU_01250,0.1345139538107202,rpsQ,ribosomal protein S17 (BS16),"Translation, ribosomal structure and biogenesis",Op86,"SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01250
BSU_01310,0.13404443402882174,rplF,ribosomal protein L6 (BL8),"Translation, ribosomal structure and biogenesis",Op92,"SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01310
BSU_01300,0.1319569537327393,rpsH,ribosomal protein S8 (BS8),"Translation, ribosomal structure and biogenesis",Op91,"SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01300
BSU_01270,0.13159977057379196,rplX,ribosomal protein L24 (BL23),"Translation, ribosomal structure and biogenesis",Op88,"SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01270
BSU_01280,0.130907737185375,rplE,ribosomal protein L5 (BL6),"Translation, ribosomal structure and biogenesis",Op89,"SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01280
BSU_01320,0.13032718320802386,rplR,ribosomal protein L18,"Translation, ribosomal structure and biogenesis",Op93,"SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01320
BSU_01330,0.12960315338030418,rpsE,ribosomal protein S5,"Translation, ribosomal structure and biogenesis",Op94,"SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01330
BSU_01260,0.12738588031403164,rplNA,ribosomal protein L14,"Translation, ribosomal structure and biogenesis",Op87,"SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01260
BSU_01290,0.1260397023904367,rpsNA,ribosomal protein S14,"Translation, ribosomal structure and biogenesis",Op90,"SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01290
BSU_01340,0.12331386720163433,rpmD,ribosomal protein L30 (BL27),"Translation, ribosomal structure and biogenesis",Op95,"SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01340
BSU_01220,0.12154070348068655,rpsC,ribosomal protein S3 (BS3),"Translation, ribosomal structure and biogenesis",Op83,"SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01220
BSU_01240,0.12009258826537658,rpmC,ribosomal protein L29,"Translation, ribosomal structure and biogenesis",Op85,"SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01240
BSU_01389,0.11909463366154127,ybzG,putative ribosome binding protein,"Translation, ribosomal structure and biogenesis",Op100,"SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01389
BSU_01350,0.1170906930806898,rplO,ribosomal protein L15,"Translation, ribosomal structure and biogenesis",Op96,"SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01350
