locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Phage region 1,link
ABUW_0565,0.27381366630000004,ABUW_0565,phage tail protein,Function unknown,Op295,"Phage region 1,AbaM",True,
ABUW_0153,0.1532841317,ABUW_0153,hypothetical protein,Function unknown,,,False,
ABUW_4123,0.1496681387,ABUW_4123,hypothetical protein,No COG annotation,,,False,
ABUW_0566,0.1322549619,ABUW_0566,phage tail tube protein,Function unknown,Op296,"Phage region 1,ABUW_1645",True,
ABUW_0564,0.1320098214,ABUW_0564,AAA ATPase,Function unknown,Op295,Phage region 1,True,
ABUW_1988,0.1314278015,ABUW_1988,hypothetical protein,No COG annotation,Op1036,ABUW_1645,False,
ABUW_4046,0.12185744100000001,ABUW_4046,hypothetical protein,Function unknown,,AbaM,False,
ABUW_4061,0.1129990126,intI,IntI1 integrase,"Replication, recombination and repair",,,False,
ABUW_1901,0.1077723435,ABUW_1901,hypothetical protein,No COG annotation,,,False,
ABUW_1720,0.1032557297,tusD,sulfur relay protein TusD/DsrE,Inorganic ion transport and metabolism,Op886,,False,
ABUW_0567,0.10078903680000001,ABUW_0567,phage tail sheath protein,Function unknown,Op296,Phage region 1,True,
ABUW_1093,0.0986976605,ABUW_1093,hypothetical protein,No COG annotation,,,False,
ABUW_4091,0.0954692078,ABUW_4091,hypothetical protein,No COG annotation,,,False,
ABUW_1261,0.0944769403,ABUW_1261,hypothetical protein,No COG annotation,,Phage region 3,False,
ABUW_1485,0.0933374471,ABUW_1485,hypothetical protein,No COG annotation,Op766,,False,
ABUW_3329,0.09248888870000001,ABUW_3329,hypothetical protein,No COG annotation,,,False,
ABUW_2709,0.0883537179,benM,ben operon transcriptional regulator BenM,Transcription,,,False,
ABUW_1283,0.0851105055,ABUW_1283,hypothetical protein,No COG annotation,,,False,
ABUW_3112,0.08457383260000001,ABUW_3112,hypothetical protein,Function unknown,,,False,
ABUW_0211,0.083252371,ABUW_0211,hypothetical protein,No COG annotation,,,False,
ABUW_0810,0.0819755456,ABUW_0810,hypothetical protein,Function unknown,Op427,"Phage region 2,ABUW_1645",False,
ABUW_1474,0.0782677781,ABUW_1474,threonine efflux protein,Amino acid transport and metabolism,Op760,,False,
ABUW_0546,0.07804345800000001,ABUW_0546,hypothetical protein,No COG annotation,Op287,Phage region 1,True,
ABUW_0880,0.0771754763,ABUW_0880,hypothetical protein,No COG annotation,,,False,
ABUW_1330,0.0766424195,ABUW_1330,hypothetical protein,No COG annotation,Op701,,False,
ABUW_3800,0.0732812695,ABUW_3800,transposase%2C Mutator family,"Replication, recombination and repair",,,False,
ABUW_3336,0.0722301031,ABUW_3336,hypothetical protein,No COG annotation,,,False,
ABUW_0721,0.0714601489,wax-dgaT,bifunctional protein wax ester synthase/acyl-CoA diacylglycerol acyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",Op388,,False,
ABUW_0648,0.0707167556,ABUW_0648,type 4 fimbrial biogenesis protein FimT,Cell motility,Op343,,False,
ABUW_1307,0.0669508035,ABUW_1307,hypothetical protein,No COG annotation,Op691,Phage region 4,False,
ABUW_2539,0.0667882357,ABUW_2539,transposase inhibitor,"Replication, recombination and repair",,,False,
ABUW_1325,0.0654299332,ABUW_1325,hypothetical protein,No COG annotation,Op700,Phage region 4,False,
ABUW_4083,0.0642255035,ABUW_4083,hypothetical protein,No COG annotation,,,False,
ABUW_2540,0.0636332461,ABUW_2540,transposase,"Replication, recombination and repair",,,False,
ABUW_2683,0.0629203594,ABUW_2683,transporter%2C major facilitator family,Amino acid transport and metabolism,,,False,
ABUW_1900,0.0621738071,ABUW_1900,oxidoreductase%2C FAD/FMN-binding,Energy production and conversion,Op986,,False,
ABUW_0555,0.0611655019,ABUW_0555,hypothetical protein,Function unknown,Op293,Phage region 1,True,
ABUW_0943,0.0611199013,ABUW_0943,Glycerate kinase,Carbohydrate transport and metabolism,,,False,
ABUW_0528,0.0606054654,radC,DNA repair protein RadC,Amino acid transport and metabolism,Op278,,False,
ABUW_1326,0.0602889411,ABUW_1326,lysozyme,Carbohydrate transport and metabolism,Op700,Phage region 4,False,
ABUW_3477,0.0599520641,ABUW_3477,hypothetical protein,No COG annotation,,,False,
ABUW_0556,0.0592930255,ABUW_0556,phage zinc-binding transcriptional activator,Function unknown,Op293,Phage region 1,True,
ABUW_2818,0.0590419796,ABUW_2818,TetR family transcriptional regulator,Transcription,Op1460,ABUW_1645,False,
ABUW_0572,0.0583615954,ABUW_0572,phage baseplate assembly protein,Function unknown,Op297,Phage region 1,True,
ABUW_3706,0.0578961605,ABUW_3706,hypothetical protein,Function unknown,,,False,
ABUW_2287,-0.096662093,putA,delta-1-pyrroline-5-carboxylate dehydrogenase,Energy production and conversion,Op1176,,False,
