locus,gene_weight,gene_name,gene_product,cog,operon,regulator,ColR,link
PP_0034,0.1542677081332175,PP_0034,putative bactoprenol glycosyl-transferase from phage origin,Cell wall/membrane/envelope biogenesis,Op20,ColR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0034&e1=1&assembly=complete
PP_0036,0.1473940507413741,PP_0036,putative transcriptional regulator,Transcription,Op21,"AlgR,CbrB",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0036&e1=1&assembly=complete
PP_0035,0.1365221757295148,PP_0035,putative bactoprenol-linked glycose transferase,Function unknown,Op20,ColR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0035&e1=1&assembly=complete
PP_0042,0.1258639151709906,PP_0042,conserved exported protein of unknown function,Function unknown,Op26,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0042&e1=1&assembly=complete
PP_5138,0.1167550121724477,PP_5138,putative transcriptional regulator LysR family,Transcription,Op3343,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5138&e1=1&assembly=complete
PP_5139,0.10976717678137,cadA-III,cadmium translocating P-type ATPase,Inorganic ion transport and metabolism,Op3343,CadR,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5139&e1=1&assembly=complete
PP_0045,0.1066357951895113,czcC-I,cobalt-zinc-cadmium resistance protein,Cell wall/membrane/envelope biogenesis,Op28,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0045&e1=1&assembly=complete
PP_0033,0.101108986082032,PP_0033,putative undecaprenyl-glycosyl transferase,Cell wall/membrane/envelope biogenesis,Op20,ColR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0033&e1=1&assembly=complete
PP_0028,0.1009852428535498,PP_0028,conserved hypothetical protein,Function unknown,Op15,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0028&e1=1&assembly=complete
PP_0031,0.09040313317346,PP_0031,hypothetical protein,No COG annotation,Op18,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0031&e1=1&assembly=complete
PP_0024,0.0882155839556179,PP_0024,putative membrane-associated metal-dependent hydrolase,Function unknown,Op11,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0024&e1=1&assembly=complete
