locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,MmsR,PrpR,link
PA3569,0.266040822,mmsB,,3-hydroxyisobutyrate dehydrogenase,Lipid transport and metabolism,MmsR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3569&e1=1&assembly=complete
PA3570,0.25417069999999997,mmsA,,methylmalonate-semialdehyde dehydrogenase,Energy production and conversion,MmsR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3570&e1=1&assembly=complete
PA3710,0.160787716,PA3710,,GMC-type oxidoreductase,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3710&e1=1&assembly=complete
PA3568,0.156131548,PA3568,,propionyl-CoA synthetase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3568&e1=1&assembly=complete
PA0746,0.144197409,PA0746,,acyl-CoA dehydrogenase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0746&e1=1&assembly=complete
PA0745,0.142387128,PA0745,,enoyl-CoA hydratase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0745&e1=1&assembly=complete
PA0747,0.137826793,PA0747,,aldehyde dehydrogenase,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0747&e1=1&assembly=complete
PA3709,0.136986301,PA3709,,major facilitator superfamily transporter,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3709&e1=1&assembly=complete
PA0744,0.136677237,PA0744,,enoyl-CoA hydratase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0744&e1=1&assembly=complete
PA0797,0.084650628,PA0797,,transcriptional regulator,Transcription,PrpR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0797&e1=1&assembly=complete
PA0796,0.07989916300000001,prpB,,2-methylisocitrate lyase,Carbohydrate transport and metabolism,PrpR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0796&e1=1&assembly=complete
