locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Nac,link
b1988,0.3520428637,nac,DNA-binding transcriptional dual regulator Nac,Transcription,nac,"RpoN,Fur,Fnr,NtrC,ppGpp,Nac,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7072
b1932,0.1936886824,yedL,putative acetyltransferase YedL,Transcription,yedL,Nac,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7040
b1440,0.1875314432,ydcS,putative ABC transporter periplasmic binding protein/polyhydroxybutyrate synthase,Inorganic ion transport and metabolism,ydcSTUV-patD,"RpoS,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6751
b1441,0.1790325642,ydcT,putative ABC transporter ATP-binding protein YdcT,Inorganic ion transport and metabolism,ydcSTUV-patD,"YeiE,RpoS,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6752
b1442,0.1503554281,ydcU,putative ABC transporter membrane subunit YdcU,Inorganic ion transport and metabolism,ydcSTUV-patD,"RpoS,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6753
b1444,0.14914135280000002,patD,gamma-aminobutyraldehyde dehydrogenase,Energy production and conversion,ydcSTUV-patD,"RpoS,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6755
b1443,0.14911180200000002,ydcV,putative ABC transporter membrane subunit YdcV,Inorganic ion transport and metabolism,ydcSTUV-patD,"RpoS,ppGpp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6754
b3446,0.14738577560000002,yrhB,putative heat shock chaperone,Function unknown,yrhB,Nac,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7763
b3225,0.1255051721,nanA,N-acetylneuraminate lyase,Coenzyme transport and metabolism,nanATEK-yhcH,"RpoD,Fis,Crp,NanR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10637
b2883,0.1251324963,guaD,guanine deaminase,Nucleotide transport and metabolism,xanQ-guaD-ghxQ,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7502
b1339,0.1197418679,abgR,putative LysR-type DNA-binding transcriptional regulator AbgR,Transcription,abgR,"YfeC,Crp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6671
b4208,0.1123640424,cycA,serine/alanine/glycine/cycloserine:H(+)symporter,Amino acid transport and metabolism,cycA,"gcvB,Lrp,Nac,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12504
b1384,0.1054812443,feaR,DNA-binding transcriptional activator FeaR,Transcription,feaR,"QseB,RpoD,Crp,NsrR,Nac,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6706
b2663,0.1033252687,gabP,4-aminobutyrate:H(+) symporter,Amino acid transport and metabolism,csiD-lhgO-gabDTP,"RpoD,YddM,RpoS,H-NS,Nac,Crp,Lrp,GlaR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11330
b3043,0.0984180754,ygiL,putative fimbrial protein YgiL,Cell motility,ygiL,"YbdO,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12363
b4464,0.08789121820000001,ghxQ,guanine/hypoxanthine transporter GhxQ,Function unknown,xanQ-guaD-ghxQ,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7503
b0336,0.0865812999,codB,cytosine transporter,Nucleotide transport and metabolism,codBA,"RpoD,PurR,ppGpp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11327
b0644,0.0815698473,ybeQ,Sel1 repeat-containing protein YbeQ,No COG annotation,ybeQ,"ppGpp,LeuO,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6351
b2662,0.0815154263,gabT,4-aminobutyrate aminotransferase GabT,Amino acid transport and metabolism,csiD-lhgO-gabDTP,"RpoD,RpoS,H-NS,Nac,Crp,Lrp,GlaR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10361
b2664,0.071308594,csiR,DNA-binding transcriptional repressor CsiR,Transcription,csiR,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12386
b3324,0.0687344624,gspC,Type II secretion system protein GspC,"Intracellular trafficking, secretion, and vesicular transport",gspCDEFGHIJKLMO,"RpoD,ppGpp,SlyA,H-NS,Fur",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7702
b2661,0.0651441802,gabD,NADP(+)-dependent succinate-semialdehyde dehydrogenase,Energy production and conversion,csiD-lhgO-gabDTP,"RpoD,RpoS,H-NS,Nac,Crp,Lrp,GlaR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11329
b1981,-0.0675409965,shiA,shikimate:H(+) symporter,Inorganic ion transport and metabolism,shiA,"RpoD,ryhB,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7067
b4518,-0.0851112609,ymdF,conserved protein YmdF,No COG annotation,ymdF,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10443
b3523,-0.0896002813,yhjE,putative transporter YhjE,Inorganic ion transport and metabolism,yhjE,"ppGpp,Lrp,Nac,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12249
