locus,gene_weight,gene_name,gene_product,COG,operon,regulator,CpxR,link
b4484,0.4421770151,cpxP,periplasmic protein CpxP,Cell motility,cpxPQ,"RpoD,YidZ,CpxR,cpxQ",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7816
b1113,0.2651896166,ldtC,L%2CD-transpeptidase YcfS,Cell wall/membrane/envelope biogenesis,ldtC,"RpoD,CpxR,micA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6571
b1436,0.1976164088,yncJ,protein YncJ,Function unknown,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6747
b1846,0.19038261450000002,yebE,conserved inner membrane protein YebE,Function unknown,yebE,"RpoD,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11806
b1535,0.18833333500000002,dgcZ,diguanylate cyclase DgcZ,Signal transduction mechanisms,dgcZ,"RpoD,CysB,CpxR,CsrA,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11643
b1216,0.1775190744,chaA,Na(+)/K(+):H(+) antiporter ChaA,Inorganic ion transport and metabolism,chaA,"YfeC,GlaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11753
b0970,0.1682794259,yccA,modulator of FtsH protease,Function unknown,yccA,"RpoD,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11113
b2597,0.1580986284,raiA,stationary phase translation inhibitor and ribosome stability factor,"Translation, ribosomal structure and biogenesis",raiA,"RpoH,Crp,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11151
b1843,0.1539563257,yobB,putative carbon-nitrogen hydrolase family protein YobB,Function unknown,yobB-exoX,"OmpR,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7015
b1829,0.1237350724,htpX,zinc dependent endoprotease,"Post-translational modification, protein turnover,and chaperones",htpX,"RpoH,OmpR,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10462
b3088,0.1127572015,alx,putative membrane-bound redox modulator Alx,Inorganic ion transport and metabolism,alx,"ppGpp,OmpR,H,Mn2",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7607
