locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Cra,link
b2169,0.5335901051,fruB,fructose-specific PTS multiphosphoryl transfer protein FruB,Carbohydrate transport and metabolism,fruBKA,"RpoD,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7990
b2168,0.46871488200000005,fruK,1-phosphofructokinase,Nucleotide transport and metabolism,fruBKA,"RpoD,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10337
b2167,0.42974918040000004,fruA,fructose-specific PTS multiphosphoryl transfer protein FruA,Carbohydrate transport and metabolism,fruBKA,"RpoD,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10336
b2165,0.0954288674,psuG,pseudouridine-5'-phosphate glycosidase,"Secondary metabolites biosynthesis, transport, and catabolism",psuKG,Crp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12033
b2927,0.0929531899,epd,D-erythrose-4-phosphate dehydrogenase,Coenzyme transport and metabolism,epd-pgk-fbaA,"RpoD,RpoS,Cra,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10368
b2166,0.0901008216,psuK,putative pseudouridine kinase,Carbohydrate transport and metabolism,psuKG,Crp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11646
b1241,0.0810562808,adhE,aldehyde-alcohol dehydrogenase,Energy production and conversion,adhE,"RpoD,YdhB,RpoS,gcvB,Lrp,Fnr,NarL,Cra,Fis",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10031
b3612,0.07348416790000001,gpmM,2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase,Nucleotide transport and metabolism,gpmM-envC-yibQ,"RpoS,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12296
b2926,0.0566182956,pgk,phosphoglycerate kinase,Nucleotide transport and metabolism,epd-pgk-fbaA,"RpoD,RpoS,Crp,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10703
b2925,0.0495517907,fbaA,fructose-bisphosphate aldolase class II,Nucleotide transport and metabolism,epd-pgk-fbaA,"RpoD,RpoS,Cra,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10282
b1702,-0.1682963344,ppsA,phosphoenolpyruvate synthetase,Carbohydrate transport and metabolism,ppsA,"RpoD,Cra,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10759
b0080,-0.1806602286,cra,DNA-binding transcriptional dual regulator Cra,Transcription,cra,"PhoB,RpoH",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10338
