locus,gene_weight,gene_name,gene_product,cog,regulator,RpoN,NtrC,link
b0450,0.5746733579394615,glnK,nitrogen regulator GlnK,Transcription,"RpoN,Fur,GadX,Fnr,NtrC,Lrp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12191
b0451,0.3042698468434485,amtB,ammonia/ammonium transporter,Inorganic ion transport and metabolism,"RpoN,GadX,Fur,Fnr,NtrC",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11821
b1988,0.2891239701439761,nac,DNA-binding transcriptional dual regulator Nac,Transcription,"RpoN,Fur,Fnr,NtrC,ppGpp,Nac,Lrp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7072
b3870,0.1484711197612628,glnA,glutamine synthetase,Nucleotide transport and metabolism,"RpoD,RpoN,Crp,NtrC,Fis,Lrp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10383
b1932,0.1331503304103166,yedL,putative acetyltransferase YedL,Transcription,Nac,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7040
b3869,0.1269271152045394,glnL,sensory histidine kinase NtrB,Nucleotide transport and metabolism,"RpoD,RpoN,Crp,NtrC,Fis,Lrp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10387
b3868,0.1103461644897816,ntrC,DNA-binding transcriptional dual regulator NtrC,Signal transduction mechanisms,"RpoD,RpoN,Crp,NtrC,Fis",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10385
b3268,0.0895132076951697,yhdW,putative ABC transporter periplasmic binding protein YhdW,No COG annotation,"NtrC,RpoN,Lrp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12834
b1488,0.0848288330391826,ddpX,D-alanyl-D-alanine dipeptidase,Cell wall/membrane/envelope biogenesis,"RpoN,RpoS,NtrC",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6782
b1112,0.0681110657519804,bhsA,DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA,Cell wall/membrane/envelope biogenesis,"RpoD,RpoE,Crp,ComR",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6570
