locus,gene_weight,gene_name,gene_product,cog,regulator,link
PA4563,0.1101305288,rpsT,30S ribosomal protein S20,"Translation, ribosomal structure and biogenesis",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4563&e1=1&assembly=complete
PA2619,0.0912716034,infA,translation initiation factor IF-1,"Translation, ribosomal structure and biogenesis",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2619&e1=1&assembly=complete
PA0579,0.0884123864,rpsU,30S ribosomal protein S21,"Translation, ribosomal structure and biogenesis",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0579&e1=1&assembly=complete
PA4746,0.0839170947,PA4746,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4746&e1=1&assembly=complete
PA5316,0.0824224256,rpmB,50S ribosomal protein L28,"Translation, ribosomal structure and biogenesis",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5316&e1=1&assembly=complete
PA4669,0.0793460914,ipk,4-diphosphocytidyl-2C-methyl-D-erythritol kinase,Nucleotide transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4669&e1=1&assembly=complete
PA5049,0.07799267900000001,rpmE,50S ribosomal protein L31,"Translation, ribosomal structure and biogenesis",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5049&e1=1&assembly=complete
PA3743,0.0745221944,trmD,tRNA (guanine-N(1)-)-methyltransferase,"Translation, ribosomal structure and biogenesis",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3743&e1=1&assembly=complete
PA2971,0.0745203744,PA2971,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2971&e1=1&assembly=complete
PA5406,0.0744474432,PA5406,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5406&e1=1&assembly=complete
PA4826,0.0717566328,PA4826,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4826&e1=1&assembly=complete
