locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,HexR,GltR,link
PA3187,0.383376743,PA3187,,ABC transporter ATP-binding protein,Amino acid transport and metabolism,GltR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3187&e1=1&assembly=complete
PA3190,0.36352984400000005,PA3190,,sugar ABC transporter substrate-binding protein,Carbohydrate transport and metabolism,GltR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3190&e1=1&assembly=complete
PA3189,0.352418245,PA3189,,sugar ABC transporter permease,Carbohydrate transport and metabolism,GltR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3189&e1=1&assembly=complete
PA3186,0.339064694,oprB,,porin B,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3186&e1=1&assembly=complete
PA3188,0.329919434,PA3188,,sugar ABC transporter permease,Inorganic ion transport and metabolism,GltR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3188&e1=1&assembly=complete
PA2291,0.22318780300000002,PA2291,,glucose-sensitive porin,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2291&e1=1&assembly=complete
PA3195,0.10056269400000001,gapA,,glyceraldehyde 3-phosphate dehydrogenase,Carbohydrate transport and metabolism,HexR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3195&e1=1&assembly=complete
PA3183,0.09878084200000001,zwf,,glucose-6-phosphate 1-dehydrogenase,Carbohydrate transport and metabolism,HexR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3183&e1=1&assembly=complete
PA3194,0.09583042300000001,edd,,phosphogluconate dehydratase,Amino acid transport and metabolism,HexR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3194&e1=1&assembly=complete
PA3182,0.09073819999999999,pgl,,6-phosphogluconolactonase,Carbohydrate transport and metabolism,HexR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3182&e1=1&assembly=complete
PA3192,0.081290338,gltR,,two-component response regulator GltR,Signal transduction mechanisms,HexR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3192&e1=1&assembly=complete
PA3191,0.078771398,PA3191,,two-component sensor,Signal transduction mechanisms,"HexR,GltR",True,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3191&e1=1&assembly=complete
PA3181,0.076799403,PA3181,,2-dehydro-3-deoxy-phosphogluconate aldolase,Carbohydrate transport and metabolism,HexR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3181&e1=1&assembly=complete
PA2321,0.07574752500000001,PA2321,,gluconokinase,Carbohydrate transport and metabolism,GntR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2321&e1=1&assembly=complete
PA2322,0.073427189,PA2322,,gluconate permease,Amino acid transport and metabolism,GntR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2322&e1=1&assembly=complete
PA3193,0.067639826,glk,,glucokinase,Carbohydrate transport and metabolism,HexR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3193&e1=1&assembly=complete
