locus,gene_weight,gene_name,gene_product,COG,operon,regulator,LexA,link
BSU17267,0.20364864600000002,ymzE/2,unknown,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU17267
BSU17860,0.189542323,yneA,checkpoint enforcement protein,Cell cycle control and cell division,yneA->ynzC,LexA,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU17860
BSU17870,0.18115465,yneB,unknown,"Replication, recombination and repair",yneA->ynzC,LexA,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU17870
BSU05630,0.167301807,bstG,"bacillithiol S-transferase, nuclease inhibitor",Function unknown,bstG,LexA,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU05630
BSU20440,0.165476992,yorB,unknown,No COG category,yorB->yorC,LexA,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU20440
BSU20430,0.155191827,yorC,unknown,No COG category,yorB->yorC,LexA,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU20430
BSU21500,0.154708886,uvrX,UV-damage repair protein,"Replication, recombination and repair",yolD->uvrX,LexA,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU21500
BSU10470,0.150365482,yhjD,unknown,No COG category,yhjD,LexA,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU10470
BSU35770,0.146618833,tagC,unknown,No COG category,tagC,LexA,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35770
new_1863194_1863382,0.13612615,S619,intergenic region,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1863194_1863382
BSU09810,0.12496618400000001,yhaZ,unknown,"Replication, recombination and repair",yhaZ,LexA,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU09810
BSU35170,0.109858321,uvrB,excinuclease ABC (subunit B),No COG category,uvrB->uvrA,LexA,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35170
BSU23710,0.10977791099999999,polY2,translesion synthesis (TLS-) DNA polymerase Y2,"Replication, recombination and repair",polY2->yqkC,LexA,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU23710
BSU19090,0.105952987,yobU,unknown,Transcription,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU19090
new_1446289_1447115_c,0.105949487,S498,independent transcript,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1446289_1447115_c
BSU35160,0.105284665,uvrA,excinuclease ABC (subunit A),No COG category,uvrB->uvrA,LexA,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35160
BSU35150,0.099904884,yvzB,unknown,No COG category,yvzB,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35150
new_3609903_3610036_c,0.099610685,S1341,intergenic region,No COG category,,LexA,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3609903_3610036_c
new_1319640_1320569_c,0.097181454,S454,3'UTR of xkdA,No COG category,,"SigD,LexA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1319640_1320569_c
BSU12500,0.09697005199999999,xkdA,unknown,Amino acid transport and metabolism,xkdA,"SigD,LexA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU12500
BSU23700,0.096414994,yqjX,unknown,Function unknown,polY2->yqkC,LexA,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU23700
BSU17880,0.091871207,ynzC,unknown,Function unknown,yneA->ynzC,LexA,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU17880
new_2464120_2464226_c,0.09154113400000001,S898,intergenic region,No COG category,,LexA,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2464120_2464226_c
BSU32990,0.079755135,mrgA,"mini-ferritin, DNA-binding stress protein",Inorganic ion transport and metabolism,"yusZ->mrgA, mrgA","PerR,SigA",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU32990
BSU09920,0.079316873,sbcE,SMC-like protein,"Replication, recombination and repair",yhaO->yhaM,LexA,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU09920
BSU09910,0.076590367,yhaO,unknown,"Replication, recombination and repair",yhaO->yhaM,LexA,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU09910
BSU17850,0.07413457400000001,lexA,transcriptional repressor of the SOS regulon,Transcription,lexA,"RocR,LexA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU17850
