locus,gene_weight,gene_name,gene_product,cog,operon,regulator,ArcA,GatR,Crp,link
b2093,0.38746378340000004,gatB,galactitol-specific PTS enzyme IIB component,Carbohydrate transport and metabolism,gatYZABCD,"RpoD,GatR,ArcA,Crp",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12415
b2092,0.3778929868,gatC,galactitol-specific PTS enzyme IIC component,Carbohydrate transport and metabolism,,"RpoD,GatR,ArcA,Crp",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12416
b2091,0.3726023604,gatD,galactitol-1-phosphate 5-dehydrogenase,Amino acid transport and metabolism,gatYZABCD,"RpoD,GatR,ArcA,Crp",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12417
b2094,0.33706458,gatA,galactitol-specific PTS enzyme IIA component,Carbohydrate transport and metabolism,gatYZABCD,"RpoD,GatR,ArcA,Crp,Nac",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12414
b2095,0.27515232770000003,gatZ,tagatose-1%2C6-bisphosphate aldolase 2 subunit GatZ,Carbohydrate transport and metabolism,gatYZABCD,"RpoD,gcvB,GatR,ArcA,Crp",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7128
b2096,0.2217253788,gatY,tagatose-1%2C6-bisphosphate aldolase 2 subunit GatY,Nucleotide transport and metabolism,gatYZABCD,"RpoD,GatR,ArcA,Crp",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12419
b4498,0.13668491870000002,gatR,DNA-binding transcriptional repressor GatR%2C N-terminal fragment,No COG annotation,,,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12162
b1426,0.0942053883,ydcH,protein YdcH,Function unknown,ydcH,,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12865
b1817,0.07525490400000001,manX,mannose-specific PTS enzyme IIAB component,Carbohydrate transport and metabolism,manXYZ,"RpoD,NagC,Crp,Mlc,Cra,dicF,Hfq,sgrS",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10567
b1819,0.0743261414,manZ,mannose-specific PTS enzyme IID component,Carbohydrate transport and metabolism,manXYZ,"RpoD,NagC,Mlc,Cra,Crp,sgrS",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10569
b1818,0.0739569179,manY,mannose-specific PTS enzyme IIC component,Carbohydrate transport and metabolism,manXYZ,"RpoD,NagC,Mlc,Cra,Crp,sgrS",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10568
b2597,0.059493359600000004,raiA,stationary phase translation inhibitor and ribosome stability factor,"Translation, ribosomal structure and biogenesis",raiA,"RpoH,Crp,ppGpp",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11151
b1415,0.057061834000000006,aldA,aldehyde dehydrogenase A,Energy production and conversion,aldA,"RpoD,Rob,YidZ,SoxS,MarA,Fnr,Crp,ArcA,DnaA",True,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10035
