locus,gene_weight,gene_name,gene_product,cog,operon,regulator,IHF,PlaR,Crp,link
b3576,0.36535782,yiaL,DUF386 domain-containing protein YiaL,Carbohydrate transport and metabolism,yiaKLMNO-lyxK-sgbHUE,"RpoD,PlaR,omrA,omrB,RpoE,IHF,Crp",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12280
b3575,0.358758159,yiaK,2%2C3-diketo-L-gulonate reductase,Energy production and conversion,yiaKLMNO-lyxK-sgbHUE,"RpoD,PlaR,YiaJ,RpoE,IHF,Crp",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12279
b3577,0.3037990649,yiaM,2%2C3-diketo-L-gulonate:Na(+) symporter - membrane subunit,Carbohydrate transport and metabolism,yiaKLMNO-lyxK-sgbHUE,"RpoD,PlaR,RpoE,IHF,Crp",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12281
b3579,0.2832689136,yiaO,2%2C3-diketo-L-gulonate:Na(+) symporter - periplasmic binding protein,Carbohydrate transport and metabolism,yiaKLMNO-lyxK-sgbHUE,"RpoD,PlaR,RpoE,IHF,Crp",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12283
b3578,0.2492201976,yiaN,2%2C3-diketo-L-gulonate:Na(+) symporter - membrane subunit,Inorganic ion transport and metabolism,yiaKLMNO-lyxK-sgbHUE,"RpoD,PlaR,RpoE,IHF,Crp",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12282
b3581,0.24718803560000002,sgbH,3-keto-L-gulonate-6-phosphate decarboxylase SgbH,Carbohydrate transport and metabolism,yiaKLMNO-lyxK-sgbHUE,"RpoD,PlaR,RpoE,Crp,IHF",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12285
b3582,0.2353709541,sgbU,putative L-xylulose 5-phosphate 3-epimerase,Carbohydrate transport and metabolism,yiaKLMNO-lyxK-sgbHUE,"RpoD,PlaR,RpoE,Crp,IHF",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12286
b3580,0.2032536503,lyxK,L-xylulose kinase,Carbohydrate transport and metabolism,yiaKLMNO-lyxK-sgbHUE,"RpoD,PlaR,RpoE,Crp,IHF",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12284
b3583,0.16422071800000002,sgbE,L-ribulose-5-phosphate 4-epimerase SgbE,Carbohydrate transport and metabolism,yiaKLMNO-lyxK-sgbHUE,"RpoD,PlaR,RpoE,Crp,ppGpp,IHF",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12287
b3573,0.07768788210000001,ysaA,putative electron transport protein YsaA,Energy production and conversion,ysaA,,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12277
b3574,-0.2285878412,plaR,DNA-binding transcriptional repressor YiaJ,Transcription,yiaJ,"RpoD,PlaR,YiaJ,IHF,Crp,Crp,IHF,PlaR,RpoD",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12278
