locus,gene_weight,gene_name,gene_product,cog,operon,regulator,NarL,Fnr,ModE,NarP,link
b2207,0.3766160515,napD,NapA signal peptide-binding chaperone NapD,Inorganic ion transport and metabolism,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12143
b2208,0.3469406501,napF,ferredoxin-type protein,Energy production and conversion,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr,Lrp",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12068
b2206,0.3272477077,napA,periplasmic nitrate reductase subunit NapA,Energy production and conversion,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12067
b2204,0.3098475307,napH,ferredoxin-type protein NapH,Energy production and conversion,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,IscR,NarL,NarP,Fnr",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12062
b2205,0.301595479,napG,ferredoxin-type protein NapG,Energy production and conversion,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12064
b2203,0.2977532969,napB,periplasmic nitrate reductase cytochrome c550 protein,Energy production and conversion,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr,Nac",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12061
b2202,0.1551209503,napC,periplasmic nitrate reductase cytochrome c protein,Energy production and conversion,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr,Nac",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12060
b2201,0.1280799319,ccmA,heme trafficking system ATP-binding protein,"Post-translational modification, protein turnover,and chaperones",napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,NarP,NarL,Fnr,Nac",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12059
b2200,0.1008762341,ccmB,heme trafficking system membrane protein CcmB,"Post-translational modification, protein turnover,and chaperones",napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ppGpp,ModE,NarP,NarL,Fnr,Nac",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12058
b2197,0.0885084961,ccmE,periplasmic heme chaperone,"Post-translational modification, protein turnover,and chaperones",napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,NarP,NarL,Fnr",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12055
b2199,0.0828340655,ccmC,heme trafficking system membrane protein CcmC,"Intracellular trafficking, secretion, and vesicular transport",napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,NarP,NarL,Fnr",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12057
b2198,0.0745578909,ccmD,heme trafficking system membrane protein CcmD,"Intracellular trafficking, secretion, and vesicular transport",,"RpoD,FlhDC,ModE,NarP,NarL,Fnr",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12169
b2196,0.0697768077,ccmF,holocytochrome c synthetase membrane subunit CcmF,"Post-translational modification, protein turnover,and chaperones",napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,NarP,NarL,Fnr",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12054
b3365,0.06669086340000001,nirB,nitrite reductase catalytic subunit NirB,Energy production and conversion,nirBDC-cysG,"RpoD,Cra,Crp,IHF,NarL,NarP,Fis,H-NS,Fnr,ryhB",True,True,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10653
b2194,0.0649871327,ccmH,holocytochrome c synthetase - thiol:disulfide oxidoreductase CcmH,Inorganic ion transport and metabolism,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,NarP,NarL,Fnr,Nac",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12052
b2195,0.0642244958,ccmG,holocytochrome c synthetase - thiol:disulfide oxidoreductase CcmG,"Post-translational modification, protein turnover,and chaperones",napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,NarP,NarL,Fnr",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12053
