locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Lrp,link
b3458,0.32402546790000003,livK,L-leucine/L-phenylalanine ABC transporter periplasmic binding protein,Amino acid transport and metabolism,livKHMGF,"RpoD,gcvB,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10540
b3457,0.3120214014,livH,branched chain amino acid/phenylalanine ABC transporter membrane subunit LivH,Amino acid transport and metabolism,livKHMGF,"RpoD,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10538
b3455,0.2971048938,livG,branched chain amino acid/phenylalanine ABC transporter ATP binding subunit LivG,Inorganic ion transport and metabolism,livKHMGF,"RpoD,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10537
b3454,0.28807109740000003,livF,branched chain amino acid/phenylalanine ABC transporter ATP binding subunit LivF,Inorganic ion transport and metabolism,livKHMGF,"RpoD,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10536
b3456,0.2853140638,livM,branched chain amino acid/phenylalanine ABC transporter membrane subunit LivM,Inorganic ion transport and metabolism,livKHMGF,"RpoD,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10541
b3460,0.2252221999,livJ,branched chain amino acid/phenylalanine ABC transporter periplasmic binding protein,Amino acid transport and metabolism,livJ,"RpoD,gcvB,Lrp,DksA,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10539
b3523,0.1925165188,yhjE,putative transporter YhjE,Inorganic ion transport and metabolism,yhjE,"ppGpp,Lrp,Nac,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12249
b0112,0.108872731,aroP,aromatic amino acid:H(+) symporter AroP,"Intracellular trafficking, secretion, and vesicular transport",aroP,"RpoD,Cra,TyrR,ArgR,Fnr,GlaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10084
b0078,0.0987555925,ilvH,acetolactate synthase/acetohydroxybutanoate synthase%2C regulatory subunit,Amino acid transport and metabolism,ilvIH,"RpoD,H-NS,ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10499
b3774,0.098742033,ilvC,ketol-acid reductoisomerase (NADP(+)),Amino acid transport and metabolism,ilvC,"RpoD,gcvB,IlvY",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10495
b0077,0.0853513017,ilvI,acetolactate synthase/acetohydroxybutanoate synthase%2C catalytic subunit,Coenzyme transport and metabolism,ilvIH,"RpoD,YeiE,dsrA,H-NS,ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10500
b0401,0.0632758581,brnQ,branched chain amino acid transporter BrnQ,Amino acid transport and metabolism,brnQ-proY,Lrp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12168
b3673,-0.062191084800000004,emrD,multidrug efflux pump EmrD,Amino acid transport and metabolism,emrD,"RpoN,ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11693
b1189,-0.0628833506,dadA,D-amino acid dehydrogenase,Amino acid transport and metabolism,dadAX,"RpoD,YddM,Crp,ppGpp,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11407
b1814,-0.07010849300000001,sdaA,L-serine deaminase I,Amino acid transport and metabolism,sdaA,"RpoH,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10930
b2209,-0.0838006999,eco,serine protease inhibitor ecotin,Cell wall/membrane/envelope biogenesis,eco,Lrp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10255
b1190,-0.08393845230000001,dadX,alanine racemase 2,Amino acid transport and metabolism,dadAX,"RpoD,Crp,ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11408
b1907,-0.0896476568,tyrP,tyrosine:H(+) symporter,Amino acid transport and metabolism,tyrP,"RpoD,IHF,HU,TyrR,ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11041
b2797,-0.0925796687,sdaB,L-serine deaminase II,Amino acid transport and metabolism,sdaCB,"omrA,omrB,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11623
b2796,-0.10524465570000001,sdaC,serine:H(+) symporter SdaC,Amino acid transport and metabolism,sdaCB,"omrA,omrB,ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12142
b2845,-0.10555569740000001,yqeG,putative transporter YqeG,Amino acid transport and metabolism,yqeG,"ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7465
