locus,gene_weight,gene_name,gene_product,cog,operon,regulator,HypT,MetJ,link
b3941,0.36596839670000003,metF,5%2C10-methylenetetrahydrofolate reductase,Amino acid transport and metabolism,metF,"RpoD,MetJ",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10585
b4013,0.33002951340000003,metA,homoserine O-succinyltransferase,Amino acid transport and metabolism,metA,"RpoD,RpoH,MetJ",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10581
b3828,0.3100965705,metR,DNA-binding transcriptional dual regulator MetR,Transcription,metR,"OxyR,YcfQ,YebK,MetR,MetJ,Nac",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10591
b0199,0.2549017208,metN,L-methionine/D-methionine ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,metNIQ,"RpoD,MetJ,ppGpp,HypT",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11621
b3939,0.25040511800000004,metB,O-succinylhomoserine(thiol)-lyase/O-succinylhomoserine lyase,Amino acid transport and metabolism,metBL,"RpoD,PhoP,HypT,MetJ",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10582
b2942,0.24692803500000002,metK,methionine adenosyltransferase,Coenzyme transport and metabolism,metK,"RpoD,RpoS,Crp,MetJ,Lrp",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10589
b0600,0.2466987025,ybdL,methionine-oxo-acid transaminase%2C PLP-dependent,Amino acid transport and metabolism,ybdL,Lrp,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6329
b0260,0.2177740883,mmuP,S-methyl-L-methionine transporter,Amino acid transport and metabolism,mmuPM,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6135
b0599,0.2011747936,hcxA,hydroxycarboxylate dehydrogenase A,Energy production and conversion,hcxA,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12692
b0198,0.1868199215,metI,L-methionine/D-methionine ABC transporter membrane subunit,Inorganic ion transport and metabolism,metNIQ,"RpoD,MetJ,ppGpp,HypT",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11737
b3940,0.1748511929,metL,fused aspartate kinase/homoserine dehydrogenase 2,Amino acid transport and metabolism,metBL,"RpoD,PhoP,YcjW,HypT,MetJ",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10590
b3829,0.1718916755,metE,cobalamin-independent homocysteine transmethylase,Amino acid transport and metabolism,metE,"OxyR,YcjW,MetJ,MetR,Nac,fnrS",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10584
b3938,0.1572436002,metJ,DNA-binding transcriptional repressor MetJ,Transcription,metJ,"RpoD,Fur",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10588
b3937,0.1524772938,yiiX,putative lipid binding hydrolase,Function unknown,yiiX,ppGpp,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11882
b3008,0.14236118080000001,metC,cystathionine beta-lyase/L-cysteine desulfhydrase,Amino acid transport and metabolism,metC,"RpoD,MetJ",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10583
b0261,0.12848803250000002,mmuM,homocysteine S-methyltransferase,Amino acid transport and metabolism,mmuPM,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6136
b0197,0.12205288040000001,metQ,L-methionine/D-methionine ABC transporter membrane anchored binding protein,Inorganic ion transport and metabolism,metNIQ,"RpoD,MetJ,HypT",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11504
