locus,gene_weight,gene_name,gene_product,COG,operon,regulator,link
b4554,0.1712853591,yibT,protein YibT,Function unknown,yibT,"ppGpp,Lrp",https://ecocyc.org/gene?orgid=ECOLI&id=G0-10468
b2185,0.1697774646,rplY,50S ribosomal subunit protein L25,"Translation, ribosomal structure and biogenesis",rplY,"RpoD,ppGpp,RplY,DksA",https://ecocyc.org/gene?orgid=ECOLI&id=EG10885
b4108,0.15245618560000002,yjdM,conserved protein YjdM,Inorganic ion transport and metabolism,yjdM,,https://ecocyc.org/gene?orgid=ECOLI&id=EG10711
b0627,0.1147434029,tatE,twin arginine protein translocation system - TatE protein,"Intracellular trafficking, secretion, and vesicular transport",tatE,,https://ecocyc.org/gene?orgid=ECOLI&id=EG11305
b3049,0.1056545596,glgS,surface composition regulator,Function unknown,glgS,"RpoS,Crp,CsrA,ppGpp",https://ecocyc.org/gene?orgid=ECOLI&id=EG11381
b1811,0.1055739735,yoaH,UFP0181 family protein YoaH,Function unknown,yoaH,Lrp,https://ecocyc.org/gene?orgid=ECOLI&id=G6995
b0005,0.10385312520000001,yaaX,DUF2502 domain-containing protein YaaX,Function unknown,yaaX,Lrp,https://ecocyc.org/gene?orgid=ECOLI&id=G6081
b1586,0.1036565437,ynfD,DUF1161 domain-containing protein YnfD,Function unknown,ynfD,"Nac,ppGpp",https://ecocyc.org/gene?orgid=ECOLI&id=G6844
b3107,0.09973553680000001,yhaL,uncharacterized protein YhaL,No COG annotation,yhaKL,YhaJ,https://ecocyc.org/gene?orgid=ECOLI&id=G7621
b3688,0.0972467649,yidQ,DUF1375 domain-containing putative lipoprotein YidQ,Function unknown,yidQ,"RpoE,CpxR,Nac",https://ecocyc.org/gene?orgid=ECOLI&id=EG11712
b2777,0.0863218074,queE,putative 7-carboxy-7-deazaguanine synthase QueE,Nucleotide transport and metabolism,queE,"YbiH,PhoP",https://ecocyc.org/gene?orgid=ECOLI&id=G7443
b1570,0.0859986343,dicA,DNA-binding transcriptional dual regulator DicA,Transcription,dicA,DicA,https://ecocyc.org/gene?orgid=ECOLI&id=EG10226
