locus,gene_weight,gene_name,gene_product,cog,regulator,link
PA2550,0.1848934546,PA2550,acyl-CoA dehydrogenase,Lipid transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2550&e1=1&assembly=complete
PA0840,0.1615777525,PA0840,oxidoreductase,Energy production and conversion,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0840&e1=1&assembly=complete
PA5020,0.14801375290000002,PA5020,acyl-CoA dehydrogenase,Lipid transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5020&e1=1&assembly=complete
PA3277,0.1275758752,PA3277,short-chain dehydrogenase,Lipid transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3277&e1=1&assembly=complete
PA1648,0.1227624462,PA1648,oxidoreductase,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1648&e1=1&assembly=complete
PA3427,0.1215408001,PA3427,short-chain dehydrogenase,Lipid transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3427&e1=1&assembly=complete
PA0839,0.1103711158,PA0839,transcriptional regulator,Transcription,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0839&e1=1&assembly=complete
PA3420,0.1082161088,PA3420,transcriptional regulator,Transcription,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3420&e1=1&assembly=complete
PA4654,0.10119263790000001,PA4654,major facilitator superfamily transporter,Carbohydrate transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4654&e1=1&assembly=complete
PA1828,0.0981301951,PA1828,short-chain dehydrogenase,Lipid transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1828&e1=1&assembly=complete
PA0507,0.0969241769,PA0507,acyl-CoA dehydrogenase,Lipid transport and metabolism,PsrA,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0507&e1=1&assembly=complete
PA3534,0.0908655668,PA3534,oxidoreductase,Energy production and conversion,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3534&e1=1&assembly=complete
PA3454,0.0857066026,PA3454,acyl-CoA thiolase,Lipid transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3454&e1=1&assembly=complete
PA5530,-0.08728088690000001,PA5530,MFS dicarboxylate transporter,Amino acid transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5530&e1=1&assembly=complete
