locus,gene_weight,gene_name,gene_product,cog,regulator,arcA,link
STM3956,0.21753197370000002,yigI,putative PaaI protein,"Secondary metabolites biosynthesis, transport, and catabolism","arcA,nac",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3956
STM1625,0.1927852686,ydcI,putative LysR family transcriptional regulator,Transcription,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1625
STM3124,0.1718571435,STM3124,putative response regulator,Transcription,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3124
STM4515,0.16296126760000001,yjiJ,putative sugar transporter,Amino acid transport and metabolism,arcA,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4515
STM2789,0.1504091558,STM2789,putative cytoplasmic protein,Energy production and conversion,"arcA,crp,csiR,h-NS,lrp,nac,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2789
STM4275,0.1366179571,acs,acetyl-CoA synthetase,Nucleotide transport and metabolism,"arcA,crp,fis,fnr,ihf,rpoD,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4275
STM2220,0.1347344826,yejG,putative cytoplasmic protein,Function unknown,"arcA,nac",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2220
STM3983,0.1339329192,fadB,3-hydroxyacyl-coA dehydrogenase of 4-enzyme FadB protein,Lipid transport and metabolism,"arcA,fadR,fis,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3983
STM4400,0.11884233150000001,ytfF,putative cationic amino acid transporter,Amino acid transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4400
STM4165,0.1186453808,rsd,regulator of sigma D,Transcription,"nac,rpoD,rpoS",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4165
STM1803,0.11841994680000001,dadA,D-amino acid dehydrogenase subunit,Amino acid transport and metabolism,"crp,lrp,rpoD,yddM",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1803
STM0356,0.11662318690000001,STM0356,putative inner membrane protein,Inorganic ion transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0356
STM2785,0.1162164412,tctD,tricarboxylic transport regulatory protein,Transcription,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2785
STM0732,0.1111764387,sdhC,succinate dehydrogenase%2C cytochrome b556,Energy production and conversion,"arcA,crp,fnr,fur,nac,rpoD,ydcI",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0732
STM1818,0.1090569717,fadD,acyl-CoA synthetase,Lipid transport and metabolism,"arcA,crp,fadR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1818
STM0665,0.1066916363,gltI,glutamate/aspartate transporter,Amino acid transport and metabolism,"flhD;flhC,rpoD,rpoN",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0665
STM0733,0.10541645770000001,sdhD,succinate dehydrogenase%2C hydrophobic subunit,Energy production and conversion,"arcA,crp,fnr,fur,nac,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0733
STM3458,0.10343237450000001,yheR,putative NAD(P)H oxidoreductase,Energy production and conversion,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3458
STM1303,0.1021253636,astC,succinylornithine transaminase,Amino acid transport and metabolism,"arcA,argR,lrp,ntrC,rpoD,rpoN,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1303
STM2355,0.10179286450000001,argT,lysine/arginine/ornithine transport protein,Amino acid transport and metabolism,"arcA,ntrC,rpoN",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2355
STM2790,0.09437812150000001,ygaF,putative sarcosine oxidase-like protein,Function unknown,"arcA,crp,csiR,h-NS,lrp,nac,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2790
STM0367,0.09153791180000001,prpR,regulator for prp operon (EBP family),Transcription,"ascG,crp,phoB,prpR,rpoD",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0367
STM2389,0.0890979435,yfcY,putative acetyl-CoA acetyltransferase,Lipid transport and metabolism,"arcA,fadR,lrp,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2389
STM4265,0.08879055300000001,soxS,transcriptional activator of superoxide response regulon,Transcription,"acrR,fnr,fur,oxyR,rpoD,soxR,soxS",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4265
STM3019,0.0885664239,yqeF,putative acetyl-CoA acetyltransferase,Lipid transport and metabolism,"crp,lrp",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3019
STM4126,0.083882222,udhA,soluble pyridine nucleotide transhydrogenase,Energy production and conversion,arcA,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4126
STM1802,0.0838212078,dadX,alanine racemase 2,Amino acid transport and metabolism,"crp,lrp,rpoD",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1802
STM1857,0.0833377498,STM1857,putative acetyltransferase,Transcription,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1857
