locus,gene_weight,gene_name,gene_product,cog,operon,regulator,AmrZ,link
PP_1279,0.2462481483793808,algJ,Probable alginate O-acetylase AlgJ,Cell wall/membrane/envelope biogenesis,Op808,"FleQ,AmrZ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1279&e1=1&assembly=complete
PP_1278,0.2435652208210536,algF,Alginate biosynthesis protein AlgF,Cell wall/membrane/envelope biogenesis,Op808,"FleQ,AmrZ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1278&e1=1&assembly=complete
PP_1288,0.2431838707743377,algD,GDP-mannose 6-dehydrogenase,Cell wall/membrane/envelope biogenesis,Op808,"AlgR,FleQ,AmrZ,CbrB,PhoB",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1288&e1=1&assembly=complete
PP_1286,0.2049125472045634,alg44,Alginate biosynthesis protein Alg44,Cell wall/membrane/envelope biogenesis,Op808,"FleQ,AmrZ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1286&e1=1&assembly=complete
PP_1282,0.1953567102388791,algX,Alginate biosynthesis protein AlgX,Cell wall/membrane/envelope biogenesis,Op808,"FleQ,AmrZ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1282&e1=1&assembly=complete
PP_1277,0.1944903492419224,algA,mannose-6-phosphate isomerase/mannose-1-phosphate guanylyltransferase,Cell wall/membrane/envelope biogenesis,Op808,"FleQ,AmrZ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1277&e1=1&assembly=complete
PP_1284,0.1905222328222368,algE,Alginate production protein AlgE,Cell wall/membrane/envelope biogenesis,Op808,"FleQ,AmrZ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1284&e1=1&assembly=complete
PP_1285,0.1823064358450851,algK,Alginate biosynthesis protein AlgK,Function unknown,Op808,"FleQ,AmrZ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1285&e1=1&assembly=complete
PP_1283,0.1714085822789824,algG,poly(beta-D-mannuronate) C5 epimerase,Cell wall/membrane/envelope biogenesis,Op808,"FleQ,AmrZ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1283&e1=1&assembly=complete
PP_1287,0.1690553476333188,alg8,Glycosyltransferase alg8,Cell wall/membrane/envelope biogenesis,Op808,"FleQ,AmrZ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1287&e1=1&assembly=complete
PP_1280,0.1554206031262735,algI,Probable alginate O-acetylase AlgI,Cell wall/membrane/envelope biogenesis,Op808,"RoxR,FleQ,AmrZ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1280&e1=1&assembly=complete
PP_1281,0.1437461504166557,algL,Alginate lyase,Cell wall/membrane/envelope biogenesis,Op808,"RoxR,FleQ,AmrZ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1281&e1=1&assembly=complete
