locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Thiamine diphosphate,link
b4407,0.3720479969,thiS,sulfur carrier protein ThiS,Coenzyme transport and metabolism,thiCEFSGH,Thiamine diphosphate,True,https://ecocyc.org/gene?orgid=ECOLI&id=G1
b3993,0.3700158737,thiE,thiamine phosphate synthase,Coenzyme transport and metabolism,thiCEFSGH,"YdcN,Thiamine diphosphate",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11586
b3992,0.3597779003,thiF,ThiS adenylyltransferase,Coenzyme transport and metabolism,thiCEFSGH,Thiamine diphosphate,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11587
b3994,0.3470625413,thiC,phosphomethylpyrimidine synthase,Coenzyme transport and metabolism,thiCEFSGH,"Lrp,ArcA,Thiamine diphosphate",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11585
b3990,0.3422288157,thiH,2-iminoacetate synthase,Coenzyme transport and metabolism,thiCEFSGH,Thiamine diphosphate,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11590
b3991,0.33125392600000003,thiG,1-deoxy-D-xylulose 5-phosphate:thiol sulfurtransferase,Coenzyme transport and metabolism,thiCEFSGH,Thiamine diphosphate,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11589
b2103,0.1478705343,thiD,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,Coenzyme transport and metabolism,thiMD,"YeiE,Thiamine diphosphate",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7135
b2104,0.1360312036,thiM,hydroxyethylthiazole kinase,Nucleotide transport and metabolism,thiMD,Thiamine diphosphate,True,https://ecocyc.org/gene?orgid=ECOLI&id=M007
b0068,0.097518924,thiB,thiamine ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,sgrR-sroA-tbpA-thiPQ,"RpoD,SgrR,ppGpp,DksA",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11574
b0067,0.0876338754,thiP,thiamine ABC transporter membrane subunit,Inorganic ion transport and metabolism,sgrR-sroA-tbpA-thiPQ,"RpoD,YcjW,ppGpp,SgrR,DksA",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11573
