locus,gene_weight,gene_name,gene_product,cog,regulator,QscR,RhlR,link
PA1904,0.2000809722,phzF2,trans-2%2C3-dihydro-3-hydroxyanthranilate isomerase,Function unknown,QscR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1904&e1=1&assembly=complete
PA4215,0.1975164903,phzF1,trans-2%2C3-dihydro-3-hydroxyanthranilate isomerase,Function unknown,"PqsR,RhlR,QscR",True,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4215&e1=1&assembly=complete
PA1903,0.1974573291,phzE2,phenazine biosynthesis protein PhzE,Amino acid transport and metabolism,QscR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1903&e1=1&assembly=complete
PA4216,0.1968122198,phzG1,pyridoxamine 5'-phosphate oxidase,Coenzyme transport and metabolism,"PqsR,RhlR,QscR",True,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4216&e1=1&assembly=complete
PA4214,0.1955057754,phzE1,phenazine biosynthesis protein PhzE,Amino acid transport and metabolism,"PqsR,RhlR,QscR",True,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4214&e1=1&assembly=complete
PA1902,0.1954974522,phzD2,phenazine biosynthesis protein PhzD,"Secondary metabolites biosynthesis, transport, and catabolism",QscR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1902&e1=1&assembly=complete
PA4213,0.1934394025,phzD1,phenazine biosynthesis protein PhzD,"Secondary metabolites biosynthesis, transport, and catabolism","PqsR,RhlR,QscR",True,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4213&e1=1&assembly=complete
PA1905,0.1877587392,phzG2,pyridoxamine 5'-phosphate oxidase,Coenzyme transport and metabolism,QscR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1905&e1=1&assembly=complete
PA4217,0.16736538780000002,phzS,hypothetical protein,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4217&e1=1&assembly=complete
PA4210,0.1641493396,phzA1,phenazine biosynthesis protein,Function unknown,"PqsR,RhlR,QscR",True,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4210&e1=1&assembly=complete
PA4211,0.14948921780000002,phzB1,phenazine biosynthesis protein,Function unknown,"PqsR,RhlR,QscR",True,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4211&e1=1&assembly=complete
PA4212,0.1425387472,phzC1,phenazine biosynthesis protein PhzC,Amino acid transport and metabolism,"PqsR,RhlR,QscR",True,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4212&e1=1&assembly=complete
PA1899,0.1412199783,phzA2,phenazine biosynthesis protein PhzA,Function unknown,QscR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1899&e1=1&assembly=complete
PA1901,0.13973079330000002,phzC2,phenazine biosynthesis protein PhzC,Amino acid transport and metabolism,QscR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1901&e1=1&assembly=complete
PA4209,0.1365897805,phzM,phenazine-specific methyltransferase,"Translation, ribosomal structure and biogenesis",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4209&e1=1&assembly=complete
PA1900,0.13240760440000002,phzB2,phenazine biosynthesis protein PhzB,Function unknown,QscR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1900&e1=1&assembly=complete
PA2069,0.0879063655,PA2069,carbamoyl transferase,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2069&e1=1&assembly=complete
PA3361,0.0764574289,lecB,fucose-binding lectin PA-IIL,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3361&e1=1&assembly=complete
PA4208,0.0704371829,opmD,hypothetical protein,Cell wall/membrane/envelope biogenesis,SoxR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4208&e1=1&assembly=complete
PA3724,0.0698888101,lasB,elastase LasB,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3724&e1=1&assembly=complete
PA2068,0.068696846,PA2068,major facilitator superfamily transporter,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2068&e1=1&assembly=complete
PA3336,0.0663983532,PA3336,major facilitator superfamily transporter,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3336&e1=1&assembly=complete
PA2300,0.0663966845,chiC,chitinase,Carbohydrate transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2300&e1=1&assembly=complete
PA3331,0.06376429210000001,PA3331,cytochrome P450,"Secondary metabolites biosynthesis, transport, and catabolism",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3331&e1=1&assembly=complete
