locus,comp,gene_name,product,operon,TF,gadX,gadE,gadW,link
b3512,0.37119790160899996,gadE,GadE DNA-binding transcriptional activator,"gadE, gadF, mdtE, mdtF","Sigma38, Sigma70, arcA, crp, evgA, fliZ, gadE, gadW, gadX, h-NS, nac, phoP, ydeO",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11544
b3509,0.331912266925,hdeB,HdeB monomer,"hdeA, hdeB, yhiD","Sigma38, fliZ, gadE, gadW, gadX, gcvB, h-NS, lrp, marA, phoP, rcsB, torR",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11399
b3517,0.306228657076,gadA,glutamate decarboxylase A subunit,"gadA, gadX, gadW","Sigma38, adiY, arcA, crp, fis, fnr, gadE, gadE;rcsB, gadW, gadX, h-NS, rcsB, torR",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG50009
b1493,0.30379657629900003,gadB,glutamate decarboxylase B subunit,"gadB, gadC","Sigma38, adiY, crp, fis, fliZ, gadE, gadW, gadX, oxyS, rcsB",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11490
b3511,0.292788875826,hdeD,acid-resistance membrane protein,hdeD,"Sigma70, gadE, gadX, h-NS, phoP, rcsB",True,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11495
b3510,0.287175197929,hdeA,"HdeA monomer, chaperone active form","hdeA, hdeB, yhiD","Sigma38, fliZ, gadE, gadW, gadX, h-NS, lrp, marA, oxyS, phoP, rcsB, torR",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11398
b3508,0.281193244534,yhiD,inner membrane protein YhiD,"hdeA, hdeB, yhiD","Sigma38, fliZ, gadE, gadW, gadX, h-NS, lrp, marA, phoP, rcsB, torR",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11400
b1492,0.275228283465,gadC,glutamic acid:4-aminobutyrate antiporter,"gadB, gadC","Sigma38, adiY, crp, fis, fliZ, gadE, gadW, gadX, rcsB",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6786
b3491,0.167656561444,yhiM,inner membrane protein with a role in acid resistance,yhiM,"Sigma38, gadE, gadE;rcsB, h-NS, oxyS",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12228
b3506,0.0807964388969,slp,starvation lipoprotein,"slp, dctR","Sigma70, gadE;rcsB, gadW, gadX, gcvB, h-NS, marA, ydeO",True,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11890
b4187,0.0764993816544,aidB,isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor,aidB,"Sigma70, ada, aidB, lrp",False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11811
b3513,0.074701915723,mdtE,MdtEF-TolC multidrug efflux pump - membrane fusion protein,"gadE, gadF, mdtE, mdtF","Sigma38, Sigma70, crp, evgA, fliZ, gadE, gadW, gadX, h-NS, nac, ydeO",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12240
b3507,0.0616176797877,dctR,predicted DNA-binding transcriptional regulator,"slp, dctR","Sigma70, gadE;rcsB, gadW, gadX, h-NS, marA, ydeO",True,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11889
b3514,0.052828657810899994,mdtF,MdtEF-TolC multidrug efflux pump - permease subunit,"gadE, gadF, mdtE, mdtF","Sigma38, Sigma70, crp, evgA, fliZ, gadE, gadW, gadX, h-NS, nac, ydeO, yeiE",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12241
b4377,0.0495773298807,yjjU,predicted esterase,"yjjU, yjjV",gadE,False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7951
b0485,0.0490756174157,glsA,glutaminase,"ybaS, ybaT","gadW, gadX",True,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6261
b3515,-0.057751394067199986,gadW,GadW DNA-binding transcriptional dual regulator,"gadA, gadX, gadW","Sigma38, arcA, fnr, gadE, gadW, gadX, h-NS, phoB, phoP, rutR, sdiA, ydeO, yieP",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12242
