locus,gene_weight,gene_name,gene_product,COG,operon,regulator,FecI,link
b4291,0.2431632081,fecA,ferric citrate outer membrane transporter,Inorganic ion transport and metabolism,fecABCDE,"PdhR,omrA,omrB,YfeD,Crp,HypT,Nac,Fur,FecI",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10286
b4290,0.207833657,fecB,ferric citrate ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,fecABCDE,"PdhR,Crp,HypT,Nac,Fur,FecI",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10287
b4289,0.1899656887,fecC,ferric citrate ABC transporter membrane subunit FecC,Inorganic ion transport and metabolism,fecABCDE,"PdhR,Crp,HypT,Nac,Fur,FecI",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10288
b4288,0.1563108557,fecD,ferric citrate ABC transporter membrane subunit FecD,Inorganic ion transport and metabolism,fecABCDE,"PdhR,Crp,HypT,Nac,Fur,FecI",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10289
b4287,0.1395262355,fecE,ferric citrate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,fecABCDE,"PdhR,Crp,HypT,Nac,Fur,FecI",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10290
b4039,0.1146754542,ubiC,chorismate lyase,Coenzyme transport and metabolism,ubiCA,"RpoD,YeiE,IHF,Fnr,ArcA,NarL",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11369
b0595,0.08593726160000001,entB,enterobactin synthase component B,"Secondary metabolites biosynthesis, transport, and catabolism",entCEBAH,"RpoD,ryhB,Crp,Fur",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10260
b4490_2,-0.12045029200000001,efeU_2,,No COG Annotation,efeU_1U_2,,False,
b1019,-0.12064968170000001,efeB,heme-containing peroxidase/deferrochelatase,Inorganic ion transport and metabolism,efeOB,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11735
b1018,-0.1321478503,efeO,ferrous iron transport system protein EfeO,Inorganic ion transport and metabolism,efeOB,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6527
