locus,gene_weight,gene_name,gene_product,COG,operon,regulator,RpoS,link
b3555,0.17478304700000002,yiaG,putative DNA-binding transcriptional regulator YiaG,Transcription,yiaG,"YehT,YidL,YhjC,RpoS,Lrp,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12624
b2672,0.1635311451,ygaM,DUF883 domain-containing protein YgaM,Function unknown,ygaM,"ppGpp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7400
b0897,0.1569931912,ycaC,putative hydrolase,"Secondary metabolites biosynthesis, transport, and catabolism",ycaC,"YcjW,Fnr,Nac,BaeR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11241
b0329,0.133241004,yahO,DUF1471 domain-containing protein YahO,Function unknown,yahO,"omrA,omrB,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6194
b4149,0.1316001578,blc,outer membrane lipoprotein Blc,Cell wall/membrane/envelope biogenesis,blc,"RpoS,Nac,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7837
b1732,0.13081082460000001,katE,catalase II,Inorganic ion transport and metabolism,katE,"RpoS,Fis,Fur,Lrp,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10509
b2464,0.129969424,talA,transaldolase A,Nucleotide transport and metabolism,talA-tktB,"RpoS,CreB,ppGpp,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11797
b1188,0.12981957060000002,ycgB,PF04293 family protein YcgB,Function unknown,ycgB,"ppGpp,Lrp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11516
b0871,0.1283350645,poxB,pyruvate oxidase,Energy production and conversion,hcp-hcr-poxB-ltaE-ybjT,"RpoD,SoxS,RpoS,MarA,Cra,NarP,ppGpp,NsrR,OxyR,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10754
b0790,0.1276930072,ybhP,endonuclease/exonuclease/phosphatase domain-containing protein YbhP,"Replication, recombination and repair",ybhP-clsB-ybhN,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6407
b2266,0.1274133349,elaB,tail anchored inner membrane protein,Function unknown,elaB,"RpoS,ppGpp,OxyR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7173
b4376,0.1272183778,osmY,periplasmic chaperone OsmY,Function unknown,osmY,"RpoD,RpoS,Fis,Crp,Lrp,IHF,FliZ,Nac,ArcA,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11391
b1897,0.1268693889,otsB,trehalose-6-phosphate phosphatase,Carbohydrate transport and metabolism,otsBA,"RpoS,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11752
b2465,0.12329405310000001,tktB,transketolase 2,Carbohydrate transport and metabolism,talA-tktB,"PhoB,YidZ,RpoS,ppGpp,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12100
b1953,0.1214812925,yodD,stress-induced protein,Function unknown,yodD,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7046
b4568,0.12088223890000001,ytjA,DUF1328 domain-containing protein YtjA,Function unknown,ytjA,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10475
b1259,0.1205505821,yciG,protein YciG,No COG annotation,yciGFE,"RpoS,McbR,H-NS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11127
b2080,0.1176539779,yegP,DUF1508 domain-containing protein YegP,Function unknown,yegP,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7117
b4411,0.117186019,ecnB,bacteriolytic entericidin B lipoprotein,Function unknown,ecnAB,"OmpR,YbaQ,RpoS,Nac,ppGpp,micA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G0-9562
b3073,0.1119708023,patA,putrescine aminotransferase,Coenzyme transport and metabolism,patA,"YfeD,RpoN,RpoS,IHF,Fis,NtrC,Lrp,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7596
b1783,0.11125407920000001,yeaG,protein kinase YeaG,Signal transduction mechanisms,yeaGH,"NtrC,RpoN,Lrp,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6969
b2131,0.1103446621,osmF,glycine betaine ABC transporter periplasmic binding protein OsmF,Cell wall/membrane/envelope biogenesis,osmF-yehYXW,"RpoH,RpoS,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12012
b4269,0.10818525200000001,ahr,aldehyde reductase%2C NADPH-dependent,Energy production and conversion,ahr,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11436
b1836,0.1079115093,yebV,protein YebV,Function unknown,yebV,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7009
b4107,0.10694308770000001,yjdN,conserved protein YjdN,Function unknown,yjdN,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10712
b1004,0.10692201850000001,wrbA,NAD(P)H:quinone oxidoreductase,Function unknown,wrbA-yccJ,"oxyS,YdcI,RpoS,ppGpp,CsgD,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11540
b2302,0.10590113250000001,yfcG,disulfide reductase,"Post-translational modification, protein turnover,and chaperones",yfcG,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7194
b1003,0.10203638550000001,yccJ,PF13993 family protein YccJ,Function unknown,wrbA-yccJ,"RpoS,ppGpp,CsgD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12703
b1784,0.1007266911,yeaH,DUF444 domain-containing protein YeaH,Function unknown,yeaGH,"NtrC,YfeD,RpoN,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6970
b4743,0.0986656602,ynaL,protein YnaL,No COG annotation,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-8900
b0789,0.0980439096,clsB,cardiolipin synthase B,Lipid transport and metabolism,ybhP-clsB-ybhN,"YidZ,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6406
b3003,0.0975317671,yghA,NADP(+)-dependent aldehyde reductase,Lipid transport and metabolism,yghA,"YcjW,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11292
b1896,0.0973595061,otsA,trehalose-6-phosphate synthase,Carbohydrate transport and metabolism,otsBA,"YidZ,YbaQ,RpoS,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11751
b3447,0.097033622,ggt,glutathione hydrolase proenzyme,Cell wall/membrane/envelope biogenesis,ggt,"YdcN,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10374
b1051,0.09678681480000001,msyB,acidic protein that suppresses heat sensitivity of a secY mutant,Function unknown,msyB,"RpoS,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11338
b1478,0.09590891700000001,adhP,ethanol dehydrogenase/alcohol dehydrogenase,Energy production and conversion,adhP,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6775
b0753,0.0939207534,ybgS,PF13985 family protein YbgS,Function unknown,ybgS,"ppGpp,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6394
b1195,0.0925777784,ymgE,PF04226 family protein YmgE,Function unknown,ymgE,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6624
