locus,gene_weight,gene_name,gene_product,cog,regulator,Nac,link
b1988,0.4014860351285459,nac,DNA-binding transcriptional dual regulator Nac,Transcription,"RpoN,Fur,Fnr,NtrC,ppGpp,Nac,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7072
b1932,0.2183128623663351,yedL,putative acetyltransferase YedL,Transcription,Nac,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7040
b3446,0.1710942075366479,yrhB,putative heat shock chaperone,Function unknown,Nac,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7763
b1440,0.1496493833817392,ydcS,putative ABC transporter periplasmic binding protein/polyhydroxybutyrate synthase,Inorganic ion transport and metabolism,"RpoS,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6751
b1441,0.1379227648747152,ydcT,putative ABC transporter ATP-binding protein YdcT,Inorganic ion transport and metabolism,"YeiE,RpoS,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6752
b1443,0.1332780765719149,ydcV,putative ABC transporter membrane subunit YdcV,Inorganic ion transport and metabolism,"RpoS,ppGpp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6754
b3225,0.1308038844897311,nanA,N-acetylneuraminate lyase,Coenzyme transport and metabolism,"RpoD,Fis,Crp,NanR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10637
b1444,0.1262882114604401,patD,gamma-aminobutyraldehyde dehydrogenase,Energy production and conversion,"RpoS,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6755
b2883,0.1256251816384861,guaD,guanine deaminase,Nucleotide transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7502
b4208,0.1200277762062354,cycA,serine/alanine/glycine/cycloserine:H(+)symporter,Amino acid transport and metabolism,"gcvB,Lrp,Nac,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12504
b1442,0.1182110367296086,ydcU,putative ABC transporter membrane subunit YdcU,Inorganic ion transport and metabolism,"RpoS,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6753
b1339,0.1128387129922342,abgR,putative LysR-type DNA-binding transcriptional regulator AbgR,Transcription,"YfeC,Crp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6671
b1384,0.0994031634235224,feaR,DNA-binding transcriptional activator FeaR,Transcription,"QseB,RpoD,NsrR,Nac,Crp,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6706
b2663,0.0976941568256643,gabP,4-aminobutyrate:H(+) symporter,Amino acid transport and metabolism,"RpoD,YddM,RpoS,H-NS,Nac,Crp,Lrp,GlaR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11330
b0336,0.0909665708009706,codB,cytosine transporter,Nucleotide transport and metabolism,"RpoD,PurR,ppGpp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11327
b3043,0.0837602454345214,ygiL,putative fimbrial protein YgiL,Cell motility,"YbdO,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12363
b4464,0.0806441101866488,ghxQ,guanine/hypoxanthine transporter GhxQ,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7503
b2662,0.076839998824034,gabT,4-aminobutyrate aminotransferase GabT,Amino acid transport and metabolism,"RpoD,RpoS,H-NS,Nac,Crp,Lrp,GlaR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10361
b3324,0.0690026281211726,gspC,Type II secretion system protein GspC,"Intracellular trafficking, secretion, and vesicular transport","RpoD,ppGpp,SlyA,H-NS,Fur",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7702
b2664,0.0682723365500212,glaR,DNA-binding transcriptional repressor CsiR,Transcription,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12386
b4737,0.0648264187772824,ymdG,protein YmdG,No COG annotation,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-16732
b0644,0.0647599984490937,ybeQ,Sel1 repeat-containing protein YbeQ,No COG annotation,"ppGpp,LeuO,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6351
b2661,0.0644147364906131,gabD,NADP(+)-dependent succinate-semialdehyde dehydrogenase,Energy production and conversion,"RpoD,RpoS,H-NS,Nac,Crp,Lrp,GlaR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11329
b0929,0.0627188600385379,ompF,outer membrane porin F,Cell wall/membrane/envelope biogenesis,"RpoD,PhoB,RstA,micF,ipeX,RpoS,Fur,IHF,EnvY,Crp,OmpR,CpxR,Nac,rybB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10671
b3326,0.0615934893212312,gspE,Type II secretion system protein GspE,Cell motility,"RpoD,SlyA,H-NS,Fur",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7704
b1981,-0.0660420289015722,shiA,shikimate:H(+) symporter,Inorganic ion transport and metabolism,"RpoD,ryhB,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7067
b3523,-0.0833958683290195,yhjE,putative transporter YhjE,Inorganic ion transport and metabolism,"ppGpp,Lrp,Nac,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12249
b2913,-0.0938054051843023,serA,phosphoglycerate dehydrogenase,Amino acid transport and metabolism,"RpoD,gcvB,Crp,Nac,ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10944
b3212,-0.102020473718693,gltB,glutamate synthase subunit GltB,Amino acid transport and metabolism,"RpoD,YebK,YiaU,RpoS,Fur,Fnr,Nac,ArgR,AdiY,ppGpp,Crp,Lrp,IHF,HdfR,GadE",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10403
b3213,-0.1042364913619067,gltD,glutamate synthase subunit GltD,Energy production and conversion,"RpoD,RpoS,Fur,Fnr,Nac,ArgR,AdiY,ppGpp,Crp,Lrp,IHF,HdfR,GadE",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10404
b0338,-0.1060824469659152,cynR,DNA-binding transcriptional dual regulator CynR,Transcription,"RpoD,CynR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11421
b3744,-0.1749888672900014,asnA,asparagine synthetase A,Nucleotide transport and metabolism,"RpoD,AsnC,Lrp,Nac,gcvB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10091
