locus,gene_weight,gene_name,gene_product,cog,regulator,ArgR,link
b4254,0.3474282414285901,argI,ornithine carbamoyltransferase ArgI,Amino acid transport and metabolism,"RpoD,ArgR,ppGpp,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10069
b3958,0.3156042031091055,argC,N-acetylglutamylphosphate reductase,Amino acid transport and metabolism,"RpoD,ArgR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10065
b0273,0.299276403316788,argF,CP4-6 prophage%3B ornithine carbamoyltransferase ArgF,Amino acid transport and metabolism,"RpoD,ArgR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10067
b2818,0.2827441008114191,argA,N-acetylglutamate synthase,Amino acid transport and metabolism,"RpoD,ArgR,ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10063
b3959,0.2703278925141162,argB,acetylglutamate kinase,Nucleotide transport and metabolism,"RpoD,ArgR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10064
b0860,0.2638627182506067,artJ,L-arginine ABC transporter periplasmic binding protein,Amino acid transport and metabolism,"RpoD,ArgR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11628
b3172,0.2338583810643583,argG,argininosuccinate synthetase,Nucleotide transport and metabolism,"RpoD,YcjW,ArgR,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10068
b3960,0.2257179336783309,argH,argininosuccinate lyase,Amino acid transport and metabolism,"RpoD,YidZ,ArgR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11223
b3359,0.2079695038353111,argD,N-acetylornithine aminotransferase/N-succinyldiaminopimelate aminotransferase,Amino acid transport and metabolism,"RpoD,PhoP,ArgR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10066
b0272,0.1374071378815955,xynR,CP4-6 prophage%3B DNA-binding transcriptional repressor XynR,Transcription,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6144
b0032,0.1322159061819748,carA,carbamoyl phosphate synthetase subunit alpha,Nucleotide transport and metabolism,"RpoD,Fis,ArgR,PurR,PepA,RutR,IHF,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10134
b3957,0.1285961669683578,argE,acetylornithine deacetylase,Amino acid transport and metabolism,"RpoD,ArgR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11286
b0709,0.1222869032625363,dtpD,dipeptide:H(+) symporter DtpD,"Intracellular trafficking, secretion, and vesicular transport",ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6378
b0033,0.1078683393737237,carB,carbamoyl phosphate synthetase subunit beta,Nucleotide transport and metabolism,"RpoD,Fis,ArgR,PurR,PepA,RutR,IHF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10135
b2308,0.0819755641843518,hisQ,lysine/arginine/ornithine ABC transporter/histidine ABC transporter%2C membrane subunit HisQ,Inorganic ion transport and metabolism,"RpoD,RpoN,H-NS,NtrC,ArgR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12125
b2307,0.0770242794150535,hisM,lysine/arginine/ornithine ABC transporter/histidine ABC transporter%2C membrane subunit HisM,Amino acid transport and metabolism,"RpoD,RpoN,H-NS,NtrC,ArgR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10007
b2309,0.0769484558705384,hisJ,histidine ABC transporter periplasmic binding protein,Amino acid transport and metabolism,"RpoD,YidZ,RpoN,H-NS,NtrC,ArgR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12124
b0863,0.0704943815099972,artI,putative ABC transporter periplasmic binding protein ArtI,Amino acid transport and metabolism,"RpoD,RpoS,ArgR,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11625
b3744,0.0691524851960211,asnA,asparagine synthetase A,Nucleotide transport and metabolism,"RpoD,AsnC,Lrp,Nac,gcvB",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10091
b0864,0.0679297681441928,artP,L-arginine ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,"RpoD,RpoS,ArgR,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11624
b0862,0.0662027081115382,artQ,L-arginine ABC transporter membrane subunit ArtQ,Inorganic ion transport and metabolism,"RpoD,RpoS,ArgR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11626
b2306,0.061643782850665,hisP,lysine/arginine/ornithine ABC transporter/histidine ABC transporter%2C ATP binding subunit,Inorganic ion transport and metabolism,"RpoD,RpoN,H-NS,NtrC,ArgR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10452
b0861,0.0573570434621605,artM,L-arginine ABC transporter membrane subunit ArtM,Inorganic ion transport and metabolism,"RpoD,RpoS,ArgR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11627
b0034,0.0512934794312604,caiF,DNA-binding transcriptional activator CaiF,Transcription,"RpoD,YdcN,H-NS,Fnr,Crp,NarL,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6088
