locus,gene_weight,gene_name,gene_product,cog,operon,regulator,OxyR,link
b0849,0.45845405840000003,grxA,reduced glutaredoxin 1,"Post-translational modification, protein turnover,and chaperones",grxA,OxyR,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10417
b0606,0.3090663607,ahpF,alkyl hydroperoxide reductase%2C AhpF component,"Post-translational modification, protein turnover,and chaperones",ahpCF,"RpoE,RpoD,MetJ,OxyR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11385
b0605,0.26272067590000003,ahpC,alkyl hydroperoxide reductase%2C AhpC component,"Post-translational modification, protein turnover,and chaperones",ahpCF,"RpoD,MetJ,OxyR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11384
b3518,0.2479680769,ccp,cytochrome c peroxidase,Energy production and conversion,ccp,"RpoD,OxyR,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12244
b3942,0.241651262,katG,hydroperoxidase I,Inorganic ion transport and metabolism,katG,"RpoD,Fur,Fnr,ppGpp,OxyR,Nac,SdhX",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10511
b2582,0.23935343590000002,trxC,reduced thioredoxin 2,"Post-translational modification, protein turnover,and chaperones",trxC,"RpoD,OxyR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11887
b0812,0.2364806965,dps,stationary phase nucleoid protein that sequesters iron and protects DNA from damage,Inorganic ion transport and metabolism,dps,"OxyR,RpoD,oxyS,RpoS,IHF,MntR,ppGpp,Fis,H-NS,ArgR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11415
b3961,0.1348051196,oxyR,DNA-binding transcriptional dual regulator OxyR,Transcription,oxyR,"RpoD,RpoS,Crp,OxyR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10681
b3943,0.1261041003,yijE,cystine exporter,Amino acid transport and metabolism,yijE,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11902
b0475,0.1214443932,hemH,ferrochelatase,Coenzyme transport and metabolism,hemH,"RpoD,YeiE,OxyR,Nac,ryhB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10431
b0006,0.09413584600000001,yaaA,peroxide stress resistance protein YaaA,Function unknown,yaaA,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10011
b3425,0.06353906200000001,glpE,thiosulfate sulfurtransferase GlpE,Inorganic ion transport and metabolism,glpEGR,"Crp,ArcA",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10395
b0881,0.060966895900000005,clpS,specificity factor for ClpA-ClpP chaperone-protease complex,Function unknown,clpS,"PhoP,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6463
b3519,0.0598632444,treF,cytoplasmic trehalase,Carbohydrate transport and metabolism,treF,"YfeD,RpoS,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12245
b1619,-0.0646792806,hdhA,7-alpha-hydroxysteroid dehydrogenase,Lipid transport and metabolism,hdhA,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10425
b1824,-0.0698193824,yobF,DUF2527 domain-containing protein YobF,Function unknown,yobF-cspC,"RpoD,oxyS,YdcI,YdcR,YcaN,Nac,BtsR,cyaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7000
b1663,-0.0799063409,mdtK,multidrug efflux pump MdtK,Inorganic ion transport and metabolism,mdtK,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12400
b4367,-0.0817814793,fhuF,hydroxamate siderophore iron reductase,Function unknown,fhuF,"RpoD,YciT,OxyR,Fur,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7949
