locus,gene_weight,gene_name,gene_product,cog,regulator,RpoH,link
b3686,0.2908274087304769,ibpB,small heat shock protein IbpB,"Post-translational modification, protein turnover,and chaperones","RpoN,RpoH,IHF,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11535
b3687,0.2598217029288796,ibpA,small heat shock protein IbpA,"Post-translational modification, protein turnover,and chaperones","RpoH,gcvB,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11534
b0014,0.2471516757565314,dnaK,chaperone protein DnaK,"Post-translational modification, protein turnover,and chaperones","YbiH,RpoH,gcvB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10241
b0473,0.2198283844833622,htpG,chaperone protein HtpG,"Post-translational modification, protein turnover,and chaperones","YeiE,RpoN,RpoH,gcvB,AscG,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10461
b4143,0.2192133859737152,groL,chaperonin GroEL,"Post-translational modification, protein turnover,and chaperones","RpoD,RpoH,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10599
b4142,0.218381583694848,groS,cochaperonin GroES,"Post-translational modification, protein turnover,and chaperones","RpoD,RpoH,gcvB,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10600
b0015,0.2025289870712419,dnaJ,chaperone protein DnaJ,"Post-translational modification, protein turnover,and chaperones","RpoH,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10240
b2592,0.1967811013008181,clpB,ClpB chaperone,"Post-translational modification, protein turnover,and chaperones","RpoD,ryfD,RpoH,gcvB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10157
b1321,0.1780503182623367,ycjX,DUF463 domain-containing protein YcjX,Function unknown,"YbiH,RpoH,PgrR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6659
b4140,0.1731574488161089,fxsA,protein FxsA,Function unknown,"RpoH,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7832
b1322,0.1629445947562514,ycjF,conserved inner membrane protein YcjF,Function unknown,"RpoH,PgrR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12870
b3932,0.1613617791627021,hslV,peptidase component of the HslVU protease,"Post-translational modification, protein turnover,and chaperones",RpoH,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11676
b3931,0.1519852073658623,hslU,ATPase component of the HslVU protease,"Post-translational modification, protein turnover,and chaperones",RpoH,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11881
b2614,0.1342318562062455,grpE,nucleotide exchange factor GrpE,"Post-translational modification, protein turnover,and chaperones","RpoH,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10416
b3400,0.1217772206819259,hslR,heat shock protein Hsp15,"Translation, ribosomal structure and biogenesis",RpoH,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7743
b3635,0.1169165625092937,mutM,DNA-formamidopyrimidine glycosylase,"Replication, recombination and repair","RpoH,ppGpp,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10329
b0492,0.112302754360055,cnoX,chaperedoxin,"Post-translational modification, protein turnover,and chaperones",RpoH,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6268
