locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,operon,regulator,link
SACI_RS08335,0.24254396267851105,Saci_1744,Saci_1744,DUF3311 domain-containing protein,Function Unknown,Op982,,https://www.uniprot.org/uniprot/A0A0U3H881
SACI_RS08340,0.18621857038629694,mctP_2,Saci_1745,sodium:solute symporter,Amino acid transport and metabolism,Op982,,https://www.uniprot.org/uniprot/A0A0U3H0B9
SACI_RS10270,0.1647848639350357,Saci_2124,Saci_2124,amidohydrolase,General Function Prediction Only,Op1269,,https://www.uniprot.org/uniprot/A0A0U2WWU3
SACI_RS10275,0.16435702753189665,Saci_2125,Saci_2125,metal-sulfur cluster biosynthetic enzyme,General Function Prediction Only,Op1270,,https://www.uniprot.org/uniprot/A0A0U2X274
SACI_RS10695,0.1616264814564383,Saci_2212,Saci_2212,R2-like ligand-binding oxidase,Nucleotide transport and metabolism,Op1340,,https://www.uniprot.org/uniprot/A0A0U3GN22
SACI_RS08910,0.15475568196312292,Saci_1855,Saci_1855,DUF973 family protein,Function Unknown,Op1074,,https://www.uniprot.org/uniprot/UPI000AB65531
SACI_RS05025,0.1397200819671999,Saci_1052,Saci_1052,GYD domain-containing protein,Function Unknown,Op555,,https://www.uniprot.org/uniprot/A0A0U2VU45
SACI_RS10690,0.1389003360641655,Saci_2211,Saci_2211,long-chain-fatty-acid--CoA ligase,Lipid transport and metabolism,Op1339,,https://www.uniprot.org/uniprot/A0A0U3GLS7
SACI_RS10665,0.12059824575110427,lipM_4,Saci_2206,lipoate--protein ligase family protein,Coenzyme transport and metabolism,Op1335,,https://www.uniprot.org/uniprot/A0A0U2NAQ8
SACI_RS08525,0.1105874937104453,csbC_2,Saci_1782,MFS transporter,Carbohydrate transport and metabolism,Op1011,biofilm,https://www.uniprot.org/uniprot/A0A0U2W123
SACI_RS08350,0.10971926502153,soxE_1,Saci_1747,sulfocyanin,Energy production and conversion,Op984,,https://www.uniprot.org/uniprot/A0A0U2W163
SACI_RS05035,0.10288369639546767,Saci_1054,Saci_1054,4-Hydroxybutyrate-CoA synthetase (E10 alt),Lipid transport and metabolism,Op557,,https://www.uniprot.org/uniprot/UPI0002B29646
SACI_RS05415,0.10223029094109408,ydjE_1,Saci_1136,MFS transporter,Carbohydrate transport and metabolism,Op620,,https://www.uniprot.org/uniprot/A0A0U3H243
SACI_RS08080,0.09155186529281424,Saci_1692,Saci_1692,cation transporter,Inorganic ion transport and metabolism,Op940,,https://www.uniprot.org/uniprot/A0A0U3H5I8
SACI_RS08230,0.08938041498336585,Saci_1723,Saci_1723,hypothetical protein,Inorganic ion transport and metabolism,Op965,,https://www.uniprot.org/uniprot/Q4J848
SACI_RS10575,0.08892086553294579,Saci_2188,Saci_2188,R2-like ligand-binding oxidase,Nucleotide transport and metabolism,Op1322,,https://www.uniprot.org/uniprot/A0A0U3FHF4
SACI_RS10035,0.08577528299529183,ydjE_3,Saci_2076,MFS transporter,Carbohydrate transport and metabolism,Op1234,,https://www.uniprot.org/uniprot/A0A0U3GM52
SACI_RS10805,0.08384219096538949,acsA_5,Saci_2235,"Acyl-CoA synthetase/AMP-(fatty) acid ligase, AMP-binding protein",Lipid transport and metabolism,Op1356,XylR,https://www.uniprot.org/uniprot/A0A0U2W5U6
SACI_RS10800,0.08309370318969274,mmgC_3,Saci_2234,acyl-CoA dehydrogenase,Lipid transport and metabolism,Op1355,XylR,https://www.uniprot.org/uniprot/A0A0U3GQ71
SACI_RS10515,0.08173694425993785,Saci_2175,Saci_2175,hypothetical protein,No arCOG annotation,Op1312,,https://www.uniprot.org/uniprot/A0A0U3H4S7
SACI_RS10165,0.07739971333211584,Saci_2103,Saci_2103,MarR family transcriptional regulator,Transcription,Op1254,,https://www.uniprot.org/uniprot/A0A0U2Y2M2
SACI_RS09715,0.07641550412364405,Saci_2009,Saci_2009,hypothetical protein,No arCOG annotation,Op1195,,https://www.uniprot.org/uniprot/A0A0U2Y2W6
SACI_RS10170,0.07456301950781924,Saci_2104,Saci_2104,hypothetical protein,No arCOG annotation,Op1254,,https://www.uniprot.org/uniprot/A0A0U3FR21
SACI_RS05235,0.07280681005717876,gbsA,Saci_1099,aldehyde dehydrogenase,Energy production and conversion,Op592,,https://www.uniprot.org/uniprot/A0A0U3H157
SACI_RS08185,0.07271929278642153,thpS,Saci_1714,thermopsin,Amino acid transport and metabolism,Op956,,https://www.uniprot.org/uniprot/A0A0U3H5H2
SACI_RS05050,0.07068952017203557,glpK_3,Saci_1058,FGGY-family carbohydrate kinase,Carbohydrate transport and metabolism,Op561,,https://www.uniprot.org/uniprot/A0A0U3H185
SACI_RS03235,0.0690428410376191,Saci_0680,Saci_0680,hypothetical protein,Function Unknown,Op363,,https://www.uniprot.org/uniprot/A0A0U3GK13
SACI_RS10390,0.06889898218664721,fadD,Saci_2148,long-chain fatty acid--CoA ligase,Lipid transport and metabolism,Op1290,,https://www.uniprot.org/uniprot/A0A0U3HNH3
SACI_RS05635,-0.07349334497194779,stp,Saci_1182,"MFS permease, MFS transporter",Carbohydrate transport and metabolism,Op652,BarR,https://www.uniprot.org/uniprot/A0A0U3H154
SACI_RS05830,-0.07501415371979467,abfR2,Saci_1223,Lrs14 family biofilm regulator AbfR2,Transcription,Op678,biofilm,https://www.uniprot.org/uniprot/A0A0U3FE21
SACI_RS09325,-0.07748772404908777,Saci_1933,Saci_1933,hypothetical protein,Function Unknown,Op1137,,https://www.uniprot.org/uniprot/A0A0U3FQM3
SACI_RS11705,-0.08571490374405558,SACI_RS11705,,hypothetical protein,No arCOG annotation,Op1052,,https://www.uniprot.org/uniprot/A0A0U2Y3D2
SACI_RS08380,-0.1531761888955902,Saci_1753,Saci_1753,hypothetical protein,Function Unknown,Op989,,https://www.uniprot.org/uniprot/A0A0U3FSN3
